LEE Jung Su POSITION,LEE Jung Su LAP TIME,LEE Jung Su ELAPSED TIME,SHI Jingnan POSITION,SHI Jingnan LAP TIME,SHI Jingnan ELAPSED TIME,Freek van der WART POSITION,Freek van der WART LAP TIME,Freek van der WART ELAPSED TIME,Samuel GIRARD POSITION,Samuel GIRARD LAP TIME,Samuel GIRARD ELAPSED TIME
1,13.32,13.32,3,13.60,13.60,2,13.47,13.47,4,13.72,13.72
1,10.17,23.49,2,10.00,23.60,4,10.24,23.71,3,9.94,23.66
3,9.31,32.80,2,9.01,32.61,4,9.25,32.96,1,8.94,32.60
3,9.09,41.89,1,9.16,41.77,4,9.00,41.96,2,9.27,41.87
4,9.21,51.10,1,8.98,50.75,3,9.00,50.96,2,8.96,50.83
4,9.06,1:00.16,1,9.08,59.83,3,9.08,1:00.04,2,9.09,59.92
4,9.10,1:09.26,1,9.12,1:08.95,3,9.09,1:09.13,2,9.10,1:09.02
4,9.00,1:18.26,1,9.09,1:18.04,3,9.02,1:18.15,2,9.08,1:18.10
0,,PEN,1,9.41,1:27.441,2,9.35,1:27.496,3,9.49,1:27.588
