EFREMENKOVA Ekaterina POSITION,EFREMENKOVA Ekaterina LAP TIME,EFREMENKOVA Ekaterina ELAPSED TIME,KAMINAGA Shione POSITION,KAMINAGA Shione LAP TIME,KAMINAGA Shione ELAPSED TIME,KIM Alang POSITION,KIM Alang LAP TIME,KIM Alang ELAPSED TIME,THOMSON Kathryn POSITION,THOMSON Kathryn LAP TIME,THOMSON Kathryn ELAPSED TIME
1,14.04,14.04,2,14.14,14.14,3,14.28,14.28,4,14.39,14.39
1,10.33,24.37,2,10.33,24.47,3,10.33,24.61,4,10.37,24.76
2,10.11,34.48,1,9.86,34.33,3,9.95,34.56,4,9.93,34.69
1,9.59,44.07,2,9.86,44.19,3,9.73,44.29,4,9.73,44.42
1,9.42,53.49,2,9.41,53.60,3,9.44,53.73,4,9.47,53.89
1,9.41,1:02.90,2,9.39,1:02.99,3,9.38,1:03.11,4,9.34,1:03.23
1,9.58,1:12.48,2,9.59,1:12.58,3,9.50,1:12.61,4,9.56,1:12.79
2,9.83,1:22.31,4,9.86,1:22.44,1,9.49,1:22.10,3,9.61,1:22.40
0,,PHOTO,4,10.16,1:32.589,1,9.55,1:31.65,0,,PHOTO
