Marielle LOOTSMA POSITION,Marielle LOOTSMA LAP TIME,Marielle LOOTSMA ELAPSED TIME,Marina GEORGIEVA-NIKOLOVA POSITION,Marina GEORGIEVA-NIKOLOVA LAP TIME,Marina GEORGIEVA-NIKOLOVA ELAPSED TIME,Ikue TESHIGAWARA POSITION,Ikue TESHIGAWARA LAP TIME,Ikue TESHIGAWARA ELAPSED TIME,Zuzana JURISOVA POSITION,Zuzana JURISOVA LAP TIME,Zuzana JURISOVA ELAPSED TIME,Tatiana BORODULINA POSITION,Tatiana BORODULINA LAP TIME,Tatiana BORODULINA ELAPSED TIME
1,16.184,16.184,4,16.682,16.682,3,16.560,16.560,5,16.780,16.780,2,16.263,16.263
1,12.426,28.609,5,12.199,28.881,2,12.280,28.840,4,12.075,28.854,3,12.580,28.843
1,11.310,39.919,4,11.355,40.235,3,11.338,40.177,5,11.545,40.398,2,11.157,39.999
1,10.661,50.580,4,10.728,50.963,3,10.641,50.817,5,10.695,51.093,2,10.678,50.676
2,10.242,1:00.821,5,10.127,1:01.089,3,10.062,1:00.878,4,9.941,1:01.034,1,10.049,1:00.725
1,9.706,1:10.526,4,9.827,1:10.916,3,9.906,1:10.784,5,9.943,1:10.976,2,9.949,1:10.673
2,9.871,1:20.397,4,9.716,1:20.631,3,9.681,1:20.464,5,9.749,1:20.725,1,9.645,1:20.318
4,10.247,1:30.643,3,9.792,1:30.422,2,9.695,1:30.158,5,10.277,1:31.002,1,9.712,1:30.029
4,10.13,1:40.764,3,9.86,1:40.279,2,9.96,1:40.115,5,9.97,1:40.966,1,10.02,1:40.048
