Sanne van KERKHOF POSITION,Sanne van KERKHOF LAP TIME,Sanne van KERKHOF ELAPSED TIME,Natalia PLUGINA POSITION,Natalia PLUGINA LAP TIME,Natalia PLUGINA ELAPSED TIME,Alex STANLEY POSITION,Alex STANLEY LAP TIME,Alex STANLEY ELAPSED TIME,Yui SAKAI POSITION,Yui SAKAI LAP TIME,Yui SAKAI ELAPSED TIME
1,13.49,13.49,3,13.71,13.71,2,13.58,13.58,4,13.80,13.80
1,10.82,24.31,4,10.78,24.49,3,10.80,24.38,2,10.55,24.35
4,10.42,34.73,3,10.23,34.72,2,10.25,34.63,1,10.20,34.55
4,10.65,45.38,3,10.53,45.25,2,10.48,45.11,1,10.47,45.02
4,10.20,55.58,3,10.16,55.41,2,10.18,55.29,1,10.17,55.19
4,9.67,1:05.25,3,9.75,1:05.16,2,9.75,1:05.04,1,9.76,1:04.95
4,9.86,1:15.11,3,9.85,1:15.01,2,9.87,1:14.91,1,9.86,1:14.81
4,9.92,1:25.03,3,9.91,1:24.92,2,9.86,1:24.77,1,9.85,1:24.66
4,10.11,1:35.134,3,10.18,1:35.094,2,10.14,1:34.909,1,10.16,1:34.814
