VIVIANI Elena POSITION,VIVIANI Elena LAP TIME,VIVIANI Elena ELAPSED TIME,KONYA Zsofia POSITION,KONYA Zsofia LAP TIME,KONYA Zsofia ELAPSED TIME,KIKUCHI Sumire POSITION,KIKUCHI Sumire LAP TIME,KIKUCHI Sumire ELAPSED TIME,CHRISTIE Elise POSITION,CHRISTIE Elise LAP TIME,CHRISTIE Elise ELAPSED TIME,Raya ZAHARIEVA POSITION,Raya ZAHARIEVA LAP TIME,Raya ZAHARIEVA ELAPSED TIME
3,17.27,17.27,1,16.99,16.99,2,17.14,17.14,4,17.47,17.47,5,17.54,17.54
3,13.75,31.02,1,13.64,30.63,2,13.79,30.93,4,13.69,31.16,5,13.79,31.33
3,12.06,43.08,1,12.35,42.98,2,12.14,43.07,4,11.95,43.11,5,11.96,43.29
1,10.36,53.44,2,10.56,53.54,3,10.57,53.64,4,10.66,53.77,5,10.64,53.93
1,10.06,1:03.50,3,10.11,1:03.65,2,9.92,1:03.56,4,10.01,1:03.78,5,10.08,1:04.01
3,9.71,1:13.21,2,9.46,1:13.11,1,9.49,1:13.05,4,9.47,1:13.25,5,9.73,1:13.74
4,9.61,1:22.82,3,9.59,1:22.70,2,9.57,1:22.62,1,9.36,1:22.61,5,9.95,1:23.69
4,9.38,1:32.20,2,9.24,1:31.94,2,9.32,1:31.94,1,9.04,1:31.65,5,10.17,1:33.86
4,9.62,1:41.820,2,9.29,1:41.234,3,9.82,1:41.755,1,9.33,1:40.979,5,10.57,1:44.436
