Assen PANDOV POSITION,Assen PANDOV LAP TIME,Assen PANDOV ELAPSED TIME,Karl LINDQVIST POSITION,Karl LINDQVIST LAP TIME,Karl LINDQVIST ELAPSED TIME,Claudio RINALDI POSITION,Claudio RINALDI LAP TIME,Claudio RINALDI ELAPSED TIME,Wim de DEYNE POSITION,Wim de DEYNE LAP TIME,Wim de DEYNE ELAPSED TIME
4,35.45,35.45,3,14.01,14.01,2,14.00,14.00,1,13.94,13.94
0,,,1,10.81,24.83,3,10.94,24.95,2,10.92,24.87
0,,,3,10.64,35.48,1,10.48,35.43,2,10.58,35.46
1,0.00,45.58,3,10.33,45.81,2,10.25,45.69,4,10.46,45.93
1,10.16,55.75,2,10.14,55.96,3,10.27,55.96,4,10.31,56.24
1,9.67,1:05.42,4,9.92,1:05.88,2,9.69,1:05.66,3,9.53,1:05.78
1,9.50,1:14.93,4,9.90,1:15.78,3,9.70,1:15.37,2,9.36,1:15.14
2,9.51,1:24.44,4,9.74,1:25.53,3,9.19,1:24.56,1,9.30,1:24.44
3,10.23,1:34.664,4,10.49,1:36.011,2,9.77,1:34.327,1,9.02,1:33.457
