Mikhail RAJINE POSITION,Mikhail RAJINE LAP TIME,Mikhail RAJINE ELAPSED TIME,Peter DARAZS POSITION,Peter DARAZS LAP TIME,Peter DARAZS ELAPSED TIME,David GROSSENBACHER POSITION,David GROSSENBACHER LAP TIME,David GROSSENBACHER ELAPSED TIME,Tom IVESON POSITION,Tom IVESON LAP TIME,Tom IVESON ELAPSED TIME,Fabio CARTA POSITION,Fabio CARTA LAP TIME,Fabio CARTA ELAPSED TIME
1,8.804,8.804,3,9.127,9.127,4,9.217,9.217,2,9.018,9.018,5,9.275,9.275
3,13.391,22.195,1,12.788,21.914,4,13.117,22.334,2,13.091,22.108,5,13.151,22.426
3,12.510,34.705,1,12.605,34.519,4,12.587,34.920,2,12.454,34.561,5,12.656,35.081
4,12.272,46.976,2,12.255,46.773,1,11.523,46.443,3,12.310,46.871,5,12.095,47.176
4,10.466,57.442,2,10.508,57.281,1,10.502,56.944,3,10.491,57.361,5,10.544,57.719
4,10.750,1:08.192,3,10.727,1:08.007,1,10.860,1:07.803,2,10.645,1:08.006,5,10.529,1:08.248
4,10.642,1:18.833,3,10.689,1:18.696,1,10.768,1:18.570,2,10.652,1:18.658,5,10.742,1:18.990
5,10.759,1:29.592,3,10.774,1:29.469,4,10.925,1:29.495,2,10.804,1:29.461,1,10.262,1:29.252
4,10.091,1:39.682,1,9.940,1:39.409,5,10.345,1:39.840,3,10.138,1:39.599,2,10.299,1:39.550
4,10.281,1:49.963,2,10.361,1:49.769,5,10.379,1:50.219,3,10.287,1:49.886,1,10.212,1:49.761
3,10.065,2:00.027,1,10.064,1:59.833,5,10.204,2:00.423,4,10.208,2:00.093,2,10.147,1:59.907
4,9.841,2:09.868,2,9.734,2:09.567,5,9.889,2:10.311,3,9.670,2:09.763,1,9.616,2:09.523
3,9.700,2:19.567,2,9.593,2:19.160,4,10.123,2:20.433,5,25.543,2:35.305,1,9.528,2:19.050
3,10.09,2:29.657,2,10.03,2:29.186,4,10.90,2:31.327,5,29.88,3:05.178,1,9.82,2:28.865
