Semen ELISTRATOV POSITION,Semen ELISTRATOV LAP TIME,Semen ELISTRATOV ELAPSED TIME,Yoshiaki OGURO POSITION,Yoshiaki OGURO LAP TIME,Yoshiaki OGURO ELAPSED TIME,Jakub JAWORSKI POSITION,Jakub JAWORSKI LAP TIME,Jakub JAWORSKI ELAPSED TIME,Fedor ANDREYEV POSITION,Fedor ANDREYEV LAP TIME,Fedor ANDREYEV ELAPSED TIME,Tsvetan TSANKOV POSITION,Tsvetan TSANKOV LAP TIME,Tsvetan TSANKOV ELAPSED TIME
3,10.36,10.36,4,10.52,10.52,1,9.99,9.99,2,10.18,10.18,5,10.68,10.68
3,14.03,24.39,4,14.02,24.54,1,14.12,24.11,2,14.06,24.24,5,14.00,24.68
3,12.61,37.00,4,12.65,37.19,1,12.54,36.65,2,12.56,36.80,5,12.68,37.36
2,11.37,48.37,4,11.36,48.55,1,11.66,48.31,3,11.63,48.43,5,11.41,48.77
1,10.17,58.54,4,10.28,58.83,2,10.34,58.65,3,10.26,58.69,5,10.21,58.98
1,9.64,1:08.18,4,9.58,1:08.41,3,9.68,1:08.33,2,9.52,1:08.21,5,9.54,1:08.52
1,9.42,1:17.60,4,9.43,1:17.84,2,9.33,1:17.66,3,9.47,1:17.68,5,9.46,1:17.98
1,9.47,1:27.07,3,9.46,1:27.30,4,9.74,1:27.40,2,9.50,1:27.18,5,9.56,1:27.54
1,9.70,1:36.77,3,9.69,1:36.99,4,9.71,1:37.11,2,9.72,1:36.90,5,9.66,1:37.20
1,9.34,1:46.11,3,9.25,1:46.24,4,9.39,1:46.50,2,9.33,1:46.23,5,9.47,1:46.67
1,9.17,1:55.28,2,9.18,1:55.42,4,9.27,1:55.77,3,9.42,1:55.65,5,9.26,1:55.93
1,9.10,2:04.38,2,9.14,2:04.56,3,9.43,2:05.20,4,9.64,2:05.29,5,9.50,2:05.43
1,9.25,2:13.63,2,9.37,2:13.93,3,9.76,2:14.96,5,10.09,2:15.38,4,9.73,2:15.16
1,9.48,2:23.110,2,9.87,2:23.800,3,10.06,2:25.020,5,10.31,2:25.682,4,9.98,2:25.137
