Arianna FONTANA POSITION,Arianna FONTANA LAP TIME,Arianna FONTANA ELAPSED TIME,Kristina VUTEVA POSITION,Kristina VUTEVA LAP TIME,Kristina VUTEVA ELAPSED TIME,Bernadett HEIDUM POSITION,Bernadett HEIDUM LAP TIME,Bernadett HEIDUM ELAPSED TIME,Susanne RUDOLPH POSITION,Susanne RUDOLPH LAP TIME,Susanne RUDOLPH ELAPSED TIME
2,13.66,13.66,4,13.95,13.95,1,13.55,13.55,3,13.80,13.80
2,11.15,24.81,4,11.07,25.02,1,11.19,24.74,3,11.11,24.91
2,10.81,35.62,4,10.88,35.90,1,10.73,35.47,3,10.83,35.74
2,10.79,46.41,4,10.74,46.64,1,10.86,46.33,3,10.77,46.51
2,10.54,56.95,4,10.56,57.20,1,10.50,56.83,3,10.56,57.07
2,9.98,1:06.93,4,10.24,1:07.44,1,10.03,1:06.86,3,10.02,1:07.09
2,9.89,1:16.82,4,10.26,1:17.70,1,9.85,1:16.71,3,9.82,1:16.91
1,9.54,1:26.36,4,10.44,1:28.14,2,9.91,1:26.62,3,10.00,1:26.91
1,10.03,1:36.388,4,10.88,1:39.020,2,10.01,1:36.626,3,10.29,1:37.194
