Selma POUTSMA POSITION,Selma POUTSMA LAP TIME,Selma POUTSMA ELAPSED TIME,LI Jinyu POSITION,LI Jinyu LAP TIME,LI Jinyu ELAPSED TIME,Magdalena WARAKOMSKA POSITION,Magdalena WARAKOMSKA LAP TIME,Magdalena WARAKOMSKA ELAPSED TIME,Anita NAGAY POSITION,Anita NAGAY LAP TIME,Anita NAGAY ELAPSED TIME,Ashley Sook Hui CHIN POSITION,Ashley Sook Hui CHIN LAP TIME,Ashley Sook Hui CHIN ELAPSED TIME,BLAIS Danae POSITION,BLAIS Danae LAP TIME,BLAIS Danae ELAPSED TIME
5,16.86,16.86,1,16.55,16.55,2,16.57,16.57,3,16.70,16.70,6,17.06,17.06,3,16.70,16.70
5,10.98,27.84,1,10.91,27.46,2,10.96,27.53,3,10.93,27.63,6,10.99,28.05,4,11.04,27.74
2,10.32,38.16,1,10.67,38.13,3,10.69,38.22,4,10.67,38.30,6,10.51,38.56,5,10.67,38.41
1,9.78,47.94,2,9.89,48.02,3,9.93,48.15,4,9.95,48.25,6,10.17,48.73,5,9.97,48.38
1,9.84,57.78,2,9.85,57.87,3,9.83,57.98,4,9.81,58.06,6,10.44,59.17,5,9.79,58.17
1,9.73,1:07.51,2,9.76,1:07.63,3,9.68,1:07.66,4,9.75,1:07.81,6,10.93,1:10.10,5,9.77,1:07.94
1,9.66,1:17.17,2,9.65,1:17.28,3,9.92,1:17.58,5,9.88,1:17.69,6,11.38,1:21.48,4,9.74,1:17.68
1,9.82,1:26.99,2,9.80,1:27.08,3,9.94,1:27.52,5,10.33,1:28.02,6,11.68,1:33.16,4,10.08,1:27.76
1,10.07,1:37.06,2,10.11,1:37.19,3,10.34,1:37.86,5,10.62,1:38.64,6,12.03,1:45.19,4,10.54,1:38.30
