ZANG Yize POSITION,ZANG Yize LAP TIME,ZANG Yize ELAPSED TIME,THOMSON Kathryn POSITION,THOMSON Kathryn LAP TIME,THOMSON Kathryn ELAPSED TIME,Anastassiya KRESTOVA POSITION,Anastassiya KRESTOVA LAP TIME,Anastassiya KRESTOVA ELAPSED TIME,SEJPALOVA-HRUZOVA Michaela POSITION,SEJPALOVA-HRUZOVA Michaela LAP TIME,SEJPALOVA-HRUZOVA Michaela ELAPSED TIME,SCHULTING Suzanne POSITION,SCHULTING Suzanne LAP TIME,SCHULTING Suzanne ELAPSED TIME,KIKUCHI Moemi POSITION,KIKUCHI Moemi LAP TIME,KIKUCHI Moemi ELAPSED TIME,DESMET Hanne POSITION,DESMET Hanne LAP TIME,DESMET Hanne ELAPSED TIME
4,12.01,12.01,6,12.22,12.22,5,12.20,12.20,3,11.74,11.74,2,11.48,11.48,1,11.34,11.34,7,12.43,12.43
4,18.12,30.13,6,18.26,30.48,5,18.16,30.36,3,18.32,30.06,2,18.33,29.81,1,18.32,29.66,7,18.35,30.78
3,15.16,45.29,6,15.28,45.76,4,14.97,45.33,5,15.49,45.55,2,15.45,45.26,1,15.49,45.15,7,15.07,45.85
3,12.80,58.09,5,12.43,58.19,1,12.57,57.90,6,12.81,58.36,4,12.87,58.13,2,12.80,57.95,7,12.66,58.51
5,12.11,1:10.20,1,11.76,1:09.95,2,12.19,1:10.09,6,12.03,1:10.39,4,11.97,1:10.10,2,12.14,1:10.09,7,12.12,1:10.63
5,10.83,1:21.03,2,10.87,1:20.82,4,10.93,1:21.02,6,10.86,1:21.25,3,10.76,1:20.86,1,10.70,1:20.79,7,10.79,1:21.42
5,10.93,1:31.96,3,10.82,1:31.64,4,10.70,1:31.72,6,10.77,1:32.02,2,10.74,1:31.60,1,10.66,1:31.45,7,10.67,1:32.09
3,10.16,1:42.12,7,10.81,1:42.45,5,10.55,1:42.27,6,10.35,1:42.37,2,10.25,1:41.85,1,10.25,1:41.70,4,10.16,1:42.25
3,10.13,1:52.25,7,10.25,1:52.70,4,10.05,1:52.32,6,10.23,1:52.60,2,10.17,1:52.02,1,10.22,1:51.92,5,10.29,1:52.54
3,10.17,2:02.42,7,10.24,2:02.94,4,10.32,2:02.64,6,10.24,2:02.84,2,10.25,2:02.27,1,10.26,2:02.18,5,10.21,2:02.75
3,9.84,2:12.26,7,9.92,2:12.86,4,9.86,2:12.50,6,9.89,2:12.73,1,9.78,2:12.05,2,9.91,2:12.09,5,9.82,2:12.57
3,9.79,2:22.05,7,9.97,2:22.83,4,9.75,2:22.25,6,9.78,2:22.51,1,9.49,2:21.54,2,9.83,2:21.92,5,9.80,2:22.37
2,9.86,2:31.91,7,10.63,2:33.46,4,9.81,2:32.06,6,9.97,2:32.48,1,9.82,2:31.36,2,9.99,2:31.91,5,9.76,2:32.13
3,10.24,2:42.15,7,11.42,2:44.88,5,10.27,2:42.33,6,10.19,2:42.67,1,10.17,2:41.53,2,10.11,2:42.02,4,10.14,2:42.27
