Oliwia GAWLICA POSITION,Oliwia GAWLICA LAP TIME,Oliwia GAWLICA ELAPSED TIME,Vera TRYBUL POSITION,Vera TRYBUL LAP TIME,Vera TRYBUL ELAPSED TIME,MANOILOVA Katrin POSITION,MANOILOVA Katrin LAP TIME,MANOILOVA Katrin ELAPSED TIME,BURIC Katarina POSITION,BURIC Katarina LAP TIME,BURIC Katarina ELAPSED TIME,Alica PORUBSKA POSITION,Alica PORUBSKA LAP TIME,Alica PORUBSKA ELAPSED TIME,van KERKHOF Yara POSITION,van KERKHOF Yara LAP TIME,van KERKHOF Yara ELAPSED TIME,SHIM Suk Hee POSITION,SHIM Suk Hee LAP TIME,SHIM Suk Hee ELAPSED TIME
1,10.88,10.88,4,11.13,11.13,6,11.25,11.25,7,11.40,11.40,2,11.00,11.00,3,11.10,11.10,5,11.21,11.21
4,17.23,28.11,1,16.55,27.68,5,16.89,28.14,7,17.01,28.41,2,16.79,27.79,3,16.87,27.97,6,17.02,28.23
5,14.02,42.13,2,14.09,41.77,1,13.45,41.59,7,13.94,42.35,3,14.07,41.86,4,14.05,42.02,6,14.04,42.27
5,13.42,55.55,3,13.50,55.27,1,13.49,55.08,7,13.49,55.84,2,13.30,55.16,4,13.43,55.45,6,13.43,55.70
5,13.00,1:08.55,3,13.09,1:08.36,1,12.98,1:08.06,7,12.94,1:08.78,2,13.02,1:08.18,4,13.01,1:08.46,6,13.00,1:08.70
5,12.55,1:21.10,3,12.48,1:20.84,1,12.49,1:20.55,7,12.58,1:21.36,2,12.49,1:20.67,4,12.52,1:20.98,6,12.54,1:21.24
5,11.27,1:32.37,2,11.22,1:32.06,1,11.49,1:32.04,7,11.27,1:32.63,3,11.46,1:32.13,4,11.33,1:32.31,6,11.28,1:32.52
5,10.67,1:43.04,1,10.44,1:42.50,2,10.58,1:42.62,7,10.71,1:43.34,3,10.63,1:42.76,4,10.60,1:42.91,6,10.75,1:43.27
5,10.41,1:53.45,1,10.49,1:52.99,2,10.51,1:53.13,7,10.32,1:53.66,3,10.48,1:53.24,4,10.43,1:53.34,6,10.20,1:53.47
6,9.99,2:03.44,3,10.09,2:03.08,2,9.94,2:03.07,7,9.93,2:03.59,5,10.18,2:03.42,4,9.81,2:03.15,1,9.23,2:02.70
5,9.61,2:13.05,4,9.90,2:12.98,3,9.79,2:12.86,7,10.00,2:13.59,6,10.04,2:13.46,2,9.18,2:12.33,1,9.46,2:12.16
5,10.04,2:23.09,4,9.94,2:22.92,3,9.92,2:22.78,7,10.19,2:23.78,6,10.17,2:23.63,2,9.44,2:21.77,1,9.48,2:21.64
5,10.25,2:33.34,4,10.31,2:33.23,3,10.19,2:32.97,7,10.63,2:34.41,6,10.54,2:34.17,2,9.54,2:31.31,1,9.46,2:31.10
4,10.41,2:43.733,5,10.74,2:43.954,3,10.65,2:43.611,7,11.04,2:45.427,6,11.10,2:45.250,2,9.87,2:41.164,1,9.80,2:40.885
