Jon ELEY POSITION,Jon ELEY LAP TIME,Jon ELEY ELAPSED TIME,Guillaume BASTILLE POSITION,Guillaume BASTILLE LAP TIME,Guillaume BASTILLE ELAPSED TIME,Maxime CHATAIGNIER POSITION,Maxime CHATAIGNIER LAP TIME,Maxime CHATAIGNIER ELAPSED TIME,BREEUWSMA Daan POSITION,BREEUWSMA Daan LAP TIME,BREEUWSMA Daan ELAPSED TIME
1,6.94,6.94,2,7.07,7.07,3,7.15,7.15,4,7.26,7.26
1,9.13,16.07,2,9.05,16.12,3,9.08,16.23,4,9.07,16.33
1,8.69,24.76,2,8.64,24.76,3,8.64,24.87,4,8.69,25.02
2,8.88,33.64,1,8.82,33.58,3,8.86,33.73,4,8.86,33.88
3,9.00,42.639,1,8.95,42.523,2,8.88,42.601,4,8.96,42.839
