Sarah LINDSAY POSITION,Sarah LINDSAY LAP TIME,Sarah LINDSAY ELAPSED TIME,YANG Shin-Young POSITION,YANG Shin-Young LAP TIME,YANG Shin-Young ELAPSED TIME,Yui SAKAI POSITION,Yui SAKAI LAP TIME,Yui SAKAI ELAPSED TIME,WALTER Bianca POSITION,WALTER Bianca LAP TIME,WALTER Bianca ELAPSED TIME
1,7.34,7.34,2,7.34,7.34,3,7.65,7.65,4,7.83,7.83
1,9.73,17.08,2,9.77,17.11,3,9.51,17.17,4,9.79,17.63
1,9.30,26.39,2,9.33,26.45,3,9.30,26.47,4,9.14,26.77
3,9.61,36.00,2,9.53,35.99,1,9.14,35.61,4,9.40,36.17
2,9.74,45.737,3,9.77,45.752,1,9.75,45.356,4,9.71,45.877
