PARK Seung-Hi POSITION,PARK Seung-Hi LAP TIME,PARK Seung-Hi ELAPSED TIME,Marianne ST-GELAIS POSITION,Marianne ST-GELAIS LAP TIME,Marianne ST-GELAIS ELAPSED TIME,Jorien ter MORS POSITION,Jorien ter MORS LAP TIME,Jorien ter MORS ELAPSED TIME,LI Jianrou POSITION,LI Jianrou LAP TIME,LI Jianrou ELAPSED TIME
1,12.95,12.95,2,12.97,12.97,3,13.12,13.12,4,13.27,13.27
2,10.04,22.99,1,9.94,22.91,3,9.97,23.09,4,9.93,23.20
2,10.19,33.18,1,10.19,33.10,3,10.19,33.28,4,10.08,33.28
1,9.75,42.93,2,10.00,43.10,4,10.02,43.30,3,9.94,43.22
1,9.86,52.79,2,9.81,52.91,4,9.84,53.14,3,9.81,53.03
2,9.89,1:02.68,1,9.70,1:02.61,4,9.74,1:02.88,3,9.76,1:02.79
1,9.49,1:12.17,2,9.66,1:12.27,4,9.57,1:12.45,3,9.56,1:12.35
1,9.34,1:21.51,2,9.38,1:21.65,4,9.41,1:21.86,3,9.40,1:21.75
2,9.45,1:30.957,4,9.48,1:31.131,3,9.25,1:31.102,1,9.21,1:30.956
