Matthew FULLER POSITION,Matthew FULLER LAP TIME,Matthew FULLER ELAPSED TIME,Yuzo TAKAMIDO POSITION,Yuzo TAKAMIDO LAP TIME,Yuzo TAKAMIDO ELAPSED TIME,SONG Weilong POSITION,SONG Weilong LAP TIME,SONG Weilong ELAPSED TIME,Viktor DIMITROV POSITION,Viktor DIMITROV LAP TIME,Viktor DIMITROV ELAPSED TIME
4,14.26,14.26,1,14.03,14.03,2,14.14,14.14,3,14.15,14.15
4,11.20,25.46,2,11.21,25.24,3,11.21,25.35,1,10.98,25.13
4,10.40,35.86,3,10.60,35.84,2,10.43,35.78,1,10.63,35.76
2,9.58,45.44,4,9.84,45.68,1,9.60,45.38,3,9.81,45.57
2,9.79,55.23,4,9.79,55.47,1,9.75,55.13,3,9.77,55.34
2,9.71,1:04.94,4,9.72,1:05.19,1,9.68,1:04.81,3,9.74,1:05.08
2,9.46,1:14.40,3,9.31,1:14.50,1,9.47,1:14.28,4,9.55,1:14.63
3,9.39,1:23.79,2,9.23,1:23.73,1,9.21,1:23.49,4,9.57,1:24.20
3,9.62,1:33.407,1,8.98,1:32.709,2,9.24,1:32.728,4,9.84,1:34.041
