LIU Songbo POSITION,LIU Songbo LAP TIME,LIU Songbo ELAPSED TIME,JUNG Jun Ho POSITION,JUNG Jun Ho LAP TIME,JUNG Jun Ho ELAPSED TIME,Jack WHELBOURNE POSITION,Jack WHELBOURNE LAP TIME,Jack WHELBOURNE ELAPSED TIME,SHI Jingnan POSITION,SHI Jingnan LAP TIME,SHI Jingnan ELAPSED TIME
1,12.18,12.18,3,12.35,12.35,4,12.72,12.72,2,12.34,12.34
2,10.05,22.23,3,9.99,22.34,4,9.84,22.56,1,9.80,22.14
2,9.75,31.98,4,9.76,32.10,3,9.53,32.09,1,9.75,31.89
2,9.16,41.14,4,9.15,41.25,3,9.12,41.21,1,9.16,41.05
2,9.18,50.32,4,9.22,50.47,3,9.17,50.38,1,9.15,50.20
2,9.34,59.66,4,9.49,59.96,3,9.46,59.84,1,9.36,59.56
2,9.35,1:09.01,4,23.43,1:23.39,3,9.30,1:09.14,1,9.35,1:08.91
3,9.48,1:18.49,4,18.05,1:41.44,2,9.24,1:18.38,1,9.36,1:18.27
0,,PEN,3,12.66,1:54.098,2,9.44,1:27.818,1,9.47,1:27.737
