Mathias VOSTE POSITION,Mathias VOSTE LAP TIME,Mathias VOSTE ELAPSED TIME,Lasse WILMS POSITION,Lasse WILMS LAP TIME,Lasse WILMS ELAPSED TIME,HAMELIN Charles POSITION,HAMELIN Charles LAP TIME,HAMELIN Charles ELAPSED TIME,Petr HARGAS POSITION,Petr HARGAS LAP TIME,Petr HARGAS ELAPSED TIME
1,6.79,6.79,4,7.28,7.28,2,6.85,6.85,3,7.26,7.26
2,9.18,15.97,4,9.74,17.02,1,8.80,15.65,3,9.37,16.63
2,8.89,24.86,4,9.08,26.10,1,8.50,24.15,3,9.08,25.71
2,9.14,34.00,4,9.22,35.32,1,8.62,32.77,3,9.28,34.99
2,9.39,43.386,4,9.58,44.891,1,8.84,41.609,3,9.59,44.574
