Joanna WILLIAMS POSITION,Joanna WILLIAMS LAP TIME,Joanna WILLIAMS ELAPSED TIME,Kristina PAPP POSITION,Kristina PAPP LAP TIME,Kristina PAPP ELAPSED TIME,Rozsa DARAZS POSITION,Rozsa DARAZS LAP TIME,Rozsa DARAZS ELAPSED TIME,Yvonne KUNZE POSITION,Yvonne KUNZE LAP TIME,Yvonne KUNZE ELAPSED TIME,Kristina NZL1 POSITION,Kristina NZL1 LAP TIME,Kristina NZL1 ELAPSED TIME
1,16.114,16.114,5,17.064,17.064,2,16.404,16.404,3,16.536,16.536,4,16.588,16.588
1,13.072,29.186,5,13.534,30.597,2,13.012,29.416,4,13.369,29.905,3,13.187,29.775
1,11.224,40.410,5,12.858,43.454,2,11.099,40.514,3,10.671,40.576,4,11.176,40.951
3,10.295,50.704,5,12.886,56.340,2,10.120,50.634,1,9.956,50.531,4,10.115,51.065
1,9.873,1:00.576,5,13.058,1:09.398,2,9.949,1:00.582,3,10.055,1:00.585,4,9.906,1:00.971
3,9.764,1:10.340,5,13.676,1:23.074,1,9.693,1:10.275,2,9.749,1:10.333,4,9.740,1:10.711
3,9.795,1:20.135,5,12.986,1:36.059,2,9.846,1:20.121,1,9.656,1:19.988,4,9.739,1:20.449
3,9.859,1:29.993,5,13.249,1:49.307,2,9.778,1:29.898,1,9.649,1:29.637,4,9.779,1:30.228
3,10.11,1:40.096,5,13.51,2:02.815,2,10.14,1:40.036,1,10.23,1:39.860,4,10.08,1:40.303
