William PREUDHOMME POSITION,William PREUDHOMME LAP TIME,William PREUDHOMME ELAPSED TIME,Adwin SNELLINK POSITION,Adwin SNELLINK LAP TIME,Adwin SNELLINK ELAPSED TIME,Kazuya MATSUDAIRA POSITION,Kazuya MATSUDAIRA LAP TIME,Kazuya MATSUDAIRA ELAPSED TIME,Armstrong LAZENBY POSITION,Armstrong LAZENBY LAP TIME,Armstrong LAZENBY ELAPSED TIME,ZHAXYBAYEV Mersaid POSITION,ZHAXYBAYEV Mersaid LAP TIME,ZHAXYBAYEV Mersaid ELAPSED TIME,Eduard STRELKOV POSITION,Eduard STRELKOV LAP TIME,Eduard STRELKOV ELAPSED TIME,Menderes EREN POSITION,Menderes EREN LAP TIME,Menderes EREN ELAPSED TIME,Soo An YOO POSITION,Soo An YOO LAP TIME,Soo An YOO ELAPSED TIME,Daniel ZETZSCHE POSITION,Daniel ZETZSCHE LAP TIME,Daniel ZETZSCHE ELAPSED TIME,Inan EREN POSITION,Inan EREN LAP TIME,Inan EREN ELAPSED TIME
6,19.00,19.00,2,18.56,18.56,10,19.58,19.58,4,18.82,18.82,9,19.48,19.48,5,18.99,18.99,1,18.53,18.53,8,19.18,19.18,7,19.03,19.03,3,18.58,18.58
7,11.15,30.15,5,11.25,29.81,10,11.04,30.62,4,10.90,29.72,9,11.04,30.52,3,10.41,29.40,1,9.70,28.23,8,11.06,30.24,2,10.27,29.30,6,11.39,29.97
7,9.71,39.86,5,9.35,39.16,10,9.88,40.50,3,9.24,38.96,9,9.73,40.25,4,9.57,38.97,1,9.54,37.77,8,9.71,39.95,2,9.58,38.88,6,9.70,39.67
6,9.87,49.73,5,10.12,49.28,10,9.81,50.31,1,9.02,47.98,9,9.90,50.15,4,10.24,49.21,2,11.13,48.90,8,9.95,49.90,3,10.23,49.11,7,10.11,49.78
6,10.46,1:00.19,4,10.72,1:00.00,10,10.35,1:00.66,1,9.17,57.15,9,10.32,1:00.47,2,10.65,59.86,5,11.21,1:00.11,7,10.36,1:00.26,3,10.80,59.91,8,10.67,1:00.45
6,10.73,1:10.92,4,10.56,1:10.56,9,10.69,1:11.35,1,9.47,1:06.62,8,10.77,1:11.24,2,10.52,1:10.38,5,10.54,1:10.65,7,10.77,1:11.03,3,10.57,1:10.48,10,11.01,1:11.46
6,11.59,1:22.51,2,11.49,1:22.05,9,11.54,1:22.89,1,9.96,1:16.58,8,11.57,1:22.81,3,11.77,1:22.15,4,11.67,1:22.32,7,11.59,1:22.62,5,11.96,1:22.44,10,11.54,1:23.00
6,11.84,1:34.35,2,11.80,1:33.85,9,11.82,1:34.71,1,10.29,1:26.87,8,11.82,1:34.63,3,11.82,1:33.97,4,11.75,1:34.07,7,11.83,1:34.45,5,11.81,1:34.25,10,11.84,1:34.84
6,12.39,1:46.74,2,12.46,1:46.31,9,12.49,1:47.20,1,10.76,1:37.63,8,12.41,1:47.04,3,12.42,1:46.39,4,12.32,1:46.39,7,12.43,1:46.88,5,12.39,1:46.64,10,12.50,1:47.34
6,12.14,1:58.88,3,12.13,1:58.44,9,12.05,1:59.25,1,11.18,1:48.81,8,12.12,1:59.16,2,11.86,1:58.25,4,12.05,1:58.44,7,12.14,1:59.02,5,12.12,1:58.76,10,12.04,1:59.38
5,10.43,2:09.31,2,10.21,2:08.65,9,10.61,2:09.86,1,11.82,2:00.63,8,10.59,2:09.75,3,10.55,2:08.80,4,10.72,2:09.16,7,10.45,2:09.47,6,10.59,2:09.35,10,10.64,2:10.02
5,10.07,2:19.38,2,10.31,2:18.96,9,10.00,2:19.86,1,11.57,2:12.20,8,10.02,2:19.77,3,10.26,2:19.06,4,10.03,2:19.19,6,9.98,2:19.45,7,10.15,2:19.50,10,10.02,2:20.04
5,11.19,2:30.57,2,11.26,2:30.22,9,11.17,2:31.03,1,11.84,2:24.04,8,11.17,2:30.94,3,11.25,2:30.31,4,11.27,2:30.46,6,11.22,2:30.67,7,11.25,2:30.75,10,11.14,2:31.18
6,12.05,2:42.62,2,12.00,2:42.22,9,11.86,2:42.89,1,12.27,2:36.31,7,11.73,2:42.67,3,12.00,2:42.31,4,11.95,2:42.41,8,12.08,2:42.75,5,11.77,2:42.52,10,11.83,2:43.01
6,11.87,2:54.49,5,12.12,2:54.34,9,11.69,2:54.58,1,12.88,2:49.19,3,11.46,2:54.13,4,11.92,2:54.23,8,12.13,2:54.54,10,11.94,2:54.69,2,11.48,2:54.00,7,11.53,2:54.54
