SHULGINOV Alexander POSITION,SHULGINOV Alexander LAP TIME,SHULGINOV Alexander ELAPSED TIME,Thomas Insuk HONG POSITION,Thomas Insuk HONG LAP TIME,Thomas Insuk HONG ELAPSED TIME,LAHIMAKHAY Ivan POSITION,LAHIMAKHAY Ivan LAP TIME,LAHIMAKHAY Ivan ELAPSED TIME,SCHUBERT Christoph POSITION,SCHUBERT Christoph LAP TIME,SCHUBERT Christoph ELAPSED TIME,Shaolin Sandor LIU POSITION,Shaolin Sandor LIU LAP TIME,Shaolin Sandor LIU ELAPSED TIME
3,7.27,7.27,1,6.93,6.93,5,7.39,7.39,4,7.30,7.30,2,7.11,7.11
3,8.99,16.26,1,8.98,15.91,5,9.43,16.82,4,9.38,16.68,2,8.88,15.99
3,8.42,24.68,1,8.59,24.50,5,8.81,25.63,4,8.65,25.33,2,8.55,24.54
2,8.54,33.22,3,8.76,33.26,5,8.87,34.50,4,8.70,34.03,1,8.66,33.20
2,8.96,42.18,3,9.13,42.39,5,9.17,43.67,4,8.99,43.02,1,8.76,41.96
