SIN da Woon POSITION,SIN da Woon LAP TIME,SIN da Woon ELAPSED TIME,Maxime CHATAIGNIER POSITION,Maxime CHATAIGNIER LAP TIME,Maxime CHATAIGNIER ELAPSED TIME,HAN Tianyu POSITION,HAN Tianyu LAP TIME,HAN Tianyu ELAPSED TIME,WANG Xingchun POSITION,WANG Xingchun LAP TIME,WANG Xingchun ELAPSED TIME,Victor AN POSITION,Victor AN LAP TIME,Victor AN ELAPSED TIME,Chris CREVELING POSITION,Chris CREVELING LAP TIME,Chris CREVELING ELAPSED TIME
4,9.01,9.01,3,8.61,8.61,2,8.59,8.59,1,8.44,8.44,5,9.21,9.21,6,9.34,9.34
5,10.61,19.62,4,10.99,19.60,2,10.93,19.52,1,9.49,17.93,6,10.46,19.67,3,10.24,19.58
4,9.81,29.43,5,9.90,29.50,6,10.01,29.53,1,8.69,26.62,3,9.66,29.33,2,9.56,29.14
4,9.33,38.76,5,9.31,38.81,6,9.37,38.90,1,8.95,35.57,3,9.36,38.69,2,9.48,38.62
4,10.32,49.08,5,10.39,49.20,6,10.43,49.33,1,9.08,44.65,3,10.27,48.96,2,10.26,48.88
4,10.48,59.56,5,10.47,59.67,6,10.46,59.79,1,9.24,53.89,3,10.47,59.43,2,10.46,59.34
5,10.31,1:09.87,4,10.14,1:09.81,6,10.12,1:09.91,1,9.46,1:03.35,3,10.36,1:09.79,2,10.36,1:09.70
4,9.44,1:19.31,2,9.21,1:19.02,5,9.51,1:19.42,1,9.76,1:13.11,6,9.73,1:19.52,3,9.51,1:19.21
4,9.22,1:28.53,3,9.45,1:28.47,5,9.25,1:28.67,1,10.02,1:23.13,6,9.23,1:28.75,2,9.24,1:28.45
3,9.30,1:37.83,5,9.48,1:37.95,6,9.40,1:38.07,1,10.12,1:33.25,4,9.18,1:37.93,2,9.25,1:37.70
2,8.87,1:46.70,5,9.17,1:47.12,6,9.18,1:47.25,1,10.35,1:43.60,3,8.93,1:46.86,4,9.41,1:47.11
2,9.01,1:55.71,4,9.15,1:56.27,6,9.28,1:56.53,1,10.72,1:54.32,3,9.08,1:55.94,5,9.28,1:56.39
1,9.28,2:04.99,5,9.40,2:05.67,6,9.26,2:05.79,3,10.98,2:05.30,2,9.17,2:05.11,4,9.26,2:05.65
1,9.42,2:14.401,3,9.92,2:15.589,4,10.17,2:15.955,5,11.34,2:16.640,2,9.50,2:14.601,0,,PEN
