Ikue TESHIGAWARA POSITION,Ikue TESHIGAWARA LAP TIME,Ikue TESHIGAWARA ELAPSED TIME,Amelie GOULET-NADON POSITION,Amelie GOULET-NADON LAP TIME,Amelie GOULET-NADON ELAPSED TIME,Marta CAPURSO POSITION,Marta CAPURSO LAP TIME,Marta CAPURSO ELAPSED TIME,WANG Meng POSITION,WANG Meng LAP TIME,WANG Meng ELAPSED TIME
2,19.965,19.965,3,20.120,20.120,1,19.758,19.758,4,20.589,20.589
3,15.763,35.728,2,15.472,35.591,1,15.669,35.427,4,15.232,35.820
1,11.506,47.233,2,11.821,47.412,4,12.118,47.544,3,11.692,47.512
1,10.003,57.235,3,10.063,57.474,2,9.832,57.376,4,9.974,57.486
2,9.949,1:07.183,3,9.817,1:07.290,1,9.684,1:07.060,4,9.933,1:07.419
1,9.325,1:16.508,2,9.431,1:16.721,3,9.675,1:16.735,4,9.447,1:16.866
2,9.875,1:26.383,4,9.827,1:26.548,1,9.611,1:26.345,3,9.677,1:26.542
2,9.723,1:36.106,4,9.700,1:36.247,1,9.530,1:35.875,3,9.702,1:36.244
3,10.24,1:46.344,4,11.00,1:47.239,2,10.38,1:46.253,1,9.91,1:46.151
