WALTER Bianca POSITION,WALTER Bianca LAP TIME,WALTER Bianca ELAPSED TIME,KAMINAGA Shione POSITION,KAMINAGA Shione LAP TIME,KAMINAGA Shione ELAPSED TIME,VALCEPINA Arianna POSITION,VALCEPINA Arianna LAP TIME,VALCEPINA Arianna ELAPSED TIME,Yui SAKAI POSITION,Yui SAKAI LAP TIME,Yui SAKAI ELAPSED TIME,SZILICZEI-NEMET Rebeka POSITION,SZILICZEI-NEMET Rebeka LAP TIME,SZILICZEI-NEMET Rebeka ELAPSED TIME,Hitomi SAITO POSITION,Hitomi SAITO LAP TIME,Hitomi SAITO ELAPSED TIME
3,8.99,8.99,2,8.86,8.86,4,9.04,9.04,1,8.77,8.77,5,9.06,9.06,6,9.30,9.30
3,13.21,22.20,2,13.22,22.08,5,13.23,22.27,1,13.16,21.93,6,17.26,26.32,4,12.94,22.24
4,12.90,35.10,2,12.90,34.98,5,12.91,35.18,1,12.93,34.86,6,10.56,36.88,3,12.83,35.07
4,11.49,46.59,3,11.52,46.50,5,11.49,46.67,2,11.54,46.40,6,10.13,47.01,1,11.22,46.29
5,11.93,58.52,3,11.89,58.39,4,11.76,58.43,2,11.88,58.28,6,11.60,58.61,1,11.87,58.16
5,10.12,1:08.64,4,10.10,1:08.49,1,9.85,1:08.28,3,10.12,1:08.40,6,10.33,1:08.94,2,10.18,1:08.34
5,10.14,1:18.78,4,10.15,1:18.64,3,10.20,1:18.48,1,10.02,1:18.42,6,10.00,1:18.94,1,10.08,1:18.42
4,9.79,1:28.57,5,10.04,1:28.68,3,10.01,1:28.49,2,9.95,1:28.37,6,10.01,1:28.95,1,9.93,1:28.35
4,9.72,1:38.29,5,9.71,1:38.39,3,9.68,1:38.17,2,9.71,1:38.08,6,10.40,1:39.35,1,9.63,1:37.98
3,9.63,1:47.92,5,9.65,1:48.04,3,9.75,1:47.92,2,9.73,1:47.81,6,10.84,1:50.19,1,9.74,1:47.72
3,9.62,1:57.54,5,9.75,1:57.79,4,9.75,1:57.67,2,9.69,1:57.50,6,11.32,2:01.51,1,9.65,1:57.37
3,9.75,2:07.29,5,9.66,2:07.45,4,9.72,2:07.39,2,9.63,2:07.13,6,11.82,2:13.33,1,9.63,2:07.00
3,9.65,2:16.94,4,9.59,2:17.04,5,9.90,2:17.29,2,9.73,2:16.86,6,13.37,2:26.70,1,9.64,2:16.64
3,9.92,2:26.858,4,9.93,2:26.968,5,10.27,2:27.558,2,9.87,2:26.729,6,12.69,2:39.389,1,9.79,2:26.43
