JACOBS Gina POSITION,JACOBS Gina LAP TIME,JACOBS Gina ELAPSED TIME,Ashley Sook Hui CHIN POSITION,Ashley Sook Hui CHIN LAP TIME,Ashley Sook Hui CHIN ELAPSED TIME,Anna DAVYDENKO POSITION,Anna DAVYDENKO LAP TIME,Anna DAVYDENKO ELAPSED TIME,Katie FABIAN POSITION,Katie FABIAN LAP TIME,Katie FABIAN ELAPSED TIME,RUSNAKOVA Petra POSITION,RUSNAKOVA Petra LAP TIME,RUSNAKOVA Petra ELAPSED TIME
3,16.14,16.14,5,16.29,16.29,2,16.10,16.10,1,16.05,16.05,4,16.22,16.22
1,11.73,27.87,3,11.79,28.08,3,11.98,28.08,2,11.94,27.99,5,12.01,28.23
1,11.10,38.97,4,11.19,39.27,3,11.11,39.19,2,11.09,39.08,4,11.04,39.27
1,11.07,50.04,5,11.16,50.43,3,11.07,50.26,2,11.08,50.16,4,11.10,50.37
1,10.98,1:01.02,4,10.82,1:01.25,3,10.95,1:01.21,2,10.97,1:01.13,5,10.96,1:01.33
1,10.10,1:11.12,5,10.22,1:11.47,3,10.16,1:11.37,2,10.12,1:11.25,4,10.08,1:11.41
1,9.94,1:21.06,5,10.12,1:21.59,3,10.08,1:21.45,4,10.33,1:21.58,2,9.76,1:21.17
1,9.93,1:30.99,4,10.22,1:31.81,3,10.31,1:31.76,5,10.57,1:32.15,2,9.94,1:31.11
1,10.24,1:41.208,4,10.77,1:42.545,3,10.52,1:42.251,5,10.89,1:43.018,2,10.21,1:41.310
