Remi BEAULIEU POSITION,Remi BEAULIEU LAP TIME,Remi BEAULIEU ELAPSED TIME,LEE Ho-Suk POSITION,LEE Ho-Suk LAP TIME,LEE Ho-Suk ELAPSED TIME,Niels KERSTHOLT POSITION,Niels KERSTHOLT LAP TIME,Niels KERSTHOLT ELAPSED TIME,LIANG Wenhao POSITION,LIANG Wenhao LAP TIME,LIANG Wenhao ELAPSED TIME
2,12.99,12.99,4,13.27,13.27,1,12.91,12.91,3,13.13,13.13
1,10.10,23.09,4,10.18,23.45,2,10.31,23.22,3,10.20,23.33
2,9.92,33.01,4,9.69,33.14,1,9.72,32.94,3,9.68,33.01
3,9.81,42.82,1,9.45,42.59,2,9.74,42.68,4,9.83,42.84
3,9.30,52.12,1,9.34,51.93,2,9.34,52.02,4,9.42,52.26
3,9.19,1:01.31,1,9.26,1:01.19,2,9.27,1:01.29,4,9.21,1:01.47
4,9.34,1:10.65,1,9.15,1:10.34,2,9.18,1:10.47,3,9.07,1:10.54
4,9.21,1:19.86,1,9.16,1:19.50,2,9.17,1:19.64,3,9.10,1:19.64
4,9.24,1:29.092,1,9.26,1:28.754,2,9.35,1:28.989,3,9.42,1:29.055
