KNEGT Sjinkie POSITION,KNEGT Sjinkie LAP TIME,KNEGT Sjinkie ELAPSED TIME,Paul HERRMANN POSITION,Paul HERRMANN LAP TIME,Paul HERRMANN ELAPSED TIME,Lachlan HAY POSITION,Lachlan HAY LAP TIME,Lachlan HAY ELAPSED TIME,Jeff SIMON POSITION,Jeff SIMON LAP TIME,Jeff SIMON ELAPSED TIME,Haralds SILOVS POSITION,Haralds SILOVS LAP TIME,Haralds SILOVS ELAPSED TIME,Wim de DEYNE POSITION,Wim de DEYNE LAP TIME,Wim de DEYNE ELAPSED TIME
3,8.92,8.92,5,9.07,9.07,4,8.98,8.98,1,8.81,8.81,2,8.85,8.85,6,9.15,9.15
5,11.78,20.70,1,11.09,20.16,2,11.29,20.27,4,11.77,20.58,3,11.53,20.38,6,11.66,20.81
5,10.73,31.43,1,10.72,30.88,2,10.71,30.98,4,10.76,31.34,3,10.73,31.11,6,10.72,31.53
5,10.27,41.70,1,10.43,41.31,2,10.40,41.38,4,10.34,41.68,3,10.42,41.53,6,10.36,41.89
2,9.54,51.24,1,9.91,51.22,3,9.99,51.37,5,9.88,51.56,4,9.91,51.44,6,9.80,51.69
1,9.54,1:00.78,2,9.66,1:00.88,3,9.63,1:01.00,5,9.63,1:01.19,4,9.65,1:01.09,6,9.62,1:01.31
1,9.94,1:10.72,2,9.93,1:10.81,4,9.94,1:10.94,5,9.91,1:11.10,3,9.85,1:10.94,6,9.93,1:11.24
1,9.58,1:20.30,2,9.56,1:20.37,5,9.65,1:20.59,4,9.44,1:20.54,3,9.50,1:20.44,6,9.52,1:20.76
2,9.61,1:29.91,1,9.41,1:29.78,5,9.72,1:30.31,4,9.55,1:30.09,3,9.55,1:29.99,6,9.58,1:30.34
2,9.53,1:39.44,1,9.55,1:39.33,6,9.65,1:39.96,4,9.53,1:39.62,3,9.54,1:39.53,5,9.39,1:39.73
2,9.49,1:48.93,1,9.50,1:48.83,6,9.73,1:49.69,4,9.47,1:49.09,3,9.43,1:48.96,5,9.55,1:49.28
3,9.54,1:58.47,1,9.55,1:58.38,6,10.31,2:00.00,2,9.36,1:58.45,4,9.54,1:58.50,5,9.54,1:58.82
4,9.68,2:08.15,2,9.63,2:08.01,6,11.20,2:11.20,1,9.54,2:07.99,3,9.59,2:08.09,5,9.99,2:08.81
0,,DQ,5,41.07,2:49.078,3,12.18,2:23.375,1,9.64,2:17.624,4,35.66,2:43.742,2,11.36,2:20.168
