Bartosz KONOPKO POSITION,Bartosz KONOPKO LAP TIME,Bartosz KONOPKO ELAPSED TIME,SONG Weilong POSITION,SONG Weilong LAP TIME,SONG Weilong ELAPSED TIME,Benjamin MACE POSITION,Benjamin MACE LAP TIME,Benjamin MACE ELAPSED TIME,Lachlan HAY POSITION,Lachlan HAY LAP TIME,Lachlan HAY ELAPSED TIME
3,13.46,13.46,1,13.37,13.37,2,13.37,13.37,4,13.62,13.62
4,10.39,23.85,2,10.39,23.76,1,10.25,23.62,3,10.23,23.85
3,9.52,33.37,1,9.52,33.28,2,9.74,33.36,4,9.64,33.49
3,9.84,43.21,1,9.74,43.02,2,9.75,43.11,4,9.78,43.27
3,9.76,52.97,1,9.76,52.78,2,9.76,52.87,4,9.83,53.10
3,9.71,1:02.68,1,9.71,1:02.49,2,9.72,1:02.59,4,9.68,1:02.78
3,9.65,1:12.33,1,9.66,1:12.15,2,9.66,1:12.25,4,9.64,1:12.42
4,10.06,1:22.39,1,9.52,1:21.67,3,9.76,1:22.01,2,9.57,1:21.99
0,,DQ,1,9.76,1:31.427,3,9.86,1:31.868,2,9.79,1:31.780
