Ryan BEDFORD POSITION,Ryan BEDFORD LAP TIME,Ryan BEDFORD ELAPSED TIME,Sergey PRANKEVICH POSITION,Sergey PRANKEVICH LAP TIME,Sergey PRANKEVICH ELAPSED TIME,Assen PANDOV POSITION,Assen PANDOV LAP TIME,Assen PANDOV ELAPSED TIME,Artur SULTANGALIYEV POSITION,Artur SULTANGALIYEV LAP TIME,Artur SULTANGALIYEV ELAPSED TIME
4,7.150,7.150,3,7.070,7.070,1,6.790,6.790,2,7.030,7.030
4,9.460,16.610,1,9.330,16.410,2,9.690,16.480,3,9.460,16.490
1,8.910,25.520,2,9.170,25.580,3,9.180,25.670,4,9.370,25.870
1,9.130,34.650,2,9.080,34.660,4,9.220,34.900,3,8.980,34.860
1,9.290,43.950,2,9.410,44.080,3,9.330,44.230,4,9.380,44.240
