HWANG Jae Min POSITION,HWANG Jae Min LAP TIME,HWANG Jae Min ELAPSED TIME,Torsten KROEGER POSITION,Torsten KROEGER LAP TIME,Torsten KROEGER ELAPSED TIME,AZHGALIYEV Abzal POSITION,AZHGALIYEV Abzal LAP TIME,AZHGALIYEV Abzal ELAPSED TIME,Maxime CHATAIGNIER POSITION,Maxime CHATAIGNIER LAP TIME,Maxime CHATAIGNIER ELAPSED TIME
3,7.16,7.16,1,7.01,7.01,2,7.10,7.10,4,7.44,7.44
3,9.13,16.29,2,9.16,16.17,1,8.98,16.08,4,8.99,16.43
3,8.55,24.84,2,8.60,24.77,1,8.61,24.69,4,8.50,24.93
2,8.69,33.53,4,9.05,33.82,1,8.68,33.37,3,8.61,33.54
0,,PEN,2,8.94,42.757,1,9.11,42.474,0,,PEN
