BELIAEVA Elena POSITION,BELIAEVA Elena LAP TIME,BELIAEVA Elena ELAPSED TIME,Veronika WINDISCH POSITION,Veronika WINDISCH LAP TIME,Veronika WINDISCH ELAPSED TIME,Evgenia RADANOVA POSITION,Evgenia RADANOVA LAP TIME,Evgenia RADANOVA ELAPSED TIME,Kristina PAPP POSITION,Kristina PAPP LAP TIME,Kristina PAPP ELAPSED TIME
2,15.004,15.004,1,14.997,14.997,3,15.317,15.317,4,16.241,16.241
1,11.793,26.797,2,11.850,26.847,3,11.813,27.130,4,13.303,29.544
1,11.612,38.408,2,11.570,38.416,3,11.546,38.675,4,13.159,42.703
2,11.585,49.993,1,11.577,49.992,3,11.507,50.182,4,13.710,56.412
1,11.677,1:01.670,2,11.721,1:01.713,3,11.662,1:01.844,4,12.910,1:09.322
3,11.880,1:13.549,2,10.917,1:12.629,1,10.653,1:12.496,4,13.617,1:22.939
3,12.111,1:25.660,1,10.577,1:23.206,2,10.835,1:23.331,4,14.074,1:37.012
3,12.376,1:38.035,2,10.231,1:33.437,1,10.089,1:33.419,4,14.082,1:51.093
3,12.51,1:50.541,2,10.37,1:43.799,1,10.04,1:43.456,4,14.30,2:05.391
