Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME,Yuma SAKURAI POSITION,Yuma SAKURAI LAP TIME,Yuma SAKURAI ELAPSED TIME,John-Henry KRUEGER POSITION,John-Henry KRUEGER LAP TIME,John-Henry KRUEGER ELAPSED TIME
1,6.97,6.97,3,7.20,7.20,2,7.06,7.06
1,9.13,16.10,3,9.20,16.40,2,9.17,16.23
2,8.83,24.93,3,8.79,25.19,1,8.63,24.86
2,8.86,33.79,3,8.80,33.99,1,8.83,33.69
2,8.93,42.716,3,8.82,42.802,1,8.89,42.579
