Travis JAYNER POSITION,Travis JAYNER LAP TIME,Travis JAYNER ELAPSED TIME,Myukerrem TOP POSITION,Myukerrem TOP LAP TIME,Myukerrem TOP ELAPSED TIME,Lachlan HAY POSITION,Lachlan HAY LAP TIME,Lachlan HAY ELAPSED TIME,YANG Jin POSITION,YANG Jin LAP TIME,YANG Jin ELAPSED TIME,Remi BEAULIEU POSITION,Remi BEAULIEU LAP TIME,Remi BEAULIEU ELAPSED TIME,Edin BRANKOVIC POSITION,Edin BRANKOVIC LAP TIME,Edin BRANKOVIC ELAPSED TIME
4,8.76,8.76,6,8.93,8.93,5,8.89,8.89,2,8.58,8.58,3,8.71,8.71,1,8.10,8.10
2,11.09,19.85,4,11.04,19.97,3,11.04,19.93,5,11.49,20.07,6,11.50,20.21,1,10.83,18.93
2,10.64,30.49,4,10.72,30.69,3,10.65,30.58,5,10.74,30.81,6,10.71,30.92,1,10.81,29.74
2,10.79,41.28,5,10.81,41.50,4,10.84,41.42,3,10.55,41.36,6,10.66,41.58,1,11.25,40.99
2,10.67,51.95,5,10.79,52.29,1,10.35,51.77,4,10.84,52.20,6,10.73,52.31,3,11.09,52.08
2,10.05,1:02.00,6,10.19,1:02.48,1,10.14,1:01.91,4,10.00,1:02.20,5,10.01,1:02.32,3,10.02,1:02.10
2,10.58,1:12.58,6,10.50,1:12.98,1,10.57,1:12.48,4,10.55,1:12.75,5,10.47,1:12.79,3,10.57,1:12.67
5,21.48,1:34.06,4,9.82,1:22.80,3,10.24,1:22.72,1,9.82,1:22.57,6,43.50,1:56.29,2,9.98,1:22.65
5,14.97,1:49.03,4,10.03,1:32.83,3,9.95,1:32.67,1,9.82,1:32.39,6,34.55,2:30.84,2,9.86,1:32.51
5,14.07,2:03.10,4,10.15,1:42.98,3,9.56,1:42.23,1,9.56,1:41.95,6,17.17,2:48.01,2,9.59,1:42.10
5,12.21,2:15.31,4,10.19,1:53.17,3,9.37,1:51.60,1,9.42,1:51.37,6,13.87,3:01.88,2,9.41,1:51.51
5,11.05,2:26.36,4,10.60,2:03.77,3,9.62,2:01.22,1,9.58,2:00.95,6,12.70,3:14.58,2,9.59,2:01.10
5,11.34,2:37.70,4,10.97,2:14.74,3,9.84,2:11.06,1,9.77,2:10.72,6,12.48,3:27.06,2,9.82,2:10.92
5,11.79,2:49.484,4,11.21,2:25.942,2,9.77,2:20.831,1,9.76,2:20.480,6,11.82,3:38.876,3,9.97,2:20.890
