Richard SHOEBRIDGE POSITION,Richard SHOEBRIDGE LAP TIME,Richard SHOEBRIDGE ELAPSED TIME,LEE Han-Bin POSITION,LEE Han-Bin LAP TIME,LEE Han-Bin ELAPSED TIME,KNEGT Sjinkie POSITION,KNEGT Sjinkie LAP TIME,KNEGT Sjinkie ELAPSED TIME,WU Dajing POSITION,WU Dajing LAP TIME,WU Dajing ELAPSED TIME,Semen ELISTRATOV POSITION,Semen ELISTRATOV LAP TIME,Semen ELISTRATOV ELAPSED TIME
3,12.50,12.50,2,12.38,12.38,4,12.51,12.51,1,12.25,12.25,5,12.71,12.71
5,9.51,22.01,2,9.33,21.71,1,9.09,21.60,4,9.64,21.89,3,9.09,21.80
5,9.04,31.05,4,9.27,30.98,1,9.20,30.80,3,9.07,30.96,2,9.10,30.90
4,8.98,40.03,3,8.96,39.94,2,9.04,39.84,5,35.13,1:06.09,1,8.92,39.82
4,8.92,48.95,3,8.93,48.87,2,8.95,48.79,5,16.14,1:22.23,1,8.88,48.70
4,9.07,58.02,3,9.05,57.92,2,9.03,57.82,5,11.92,1:34.15,1,9.05,57.75
4,9.20,1:07.22,3,9.16,1:07.08,2,9.08,1:06.90,5,10.05,1:44.20,1,9.03,1:06.78
4,8.92,1:16.14,3,8.79,1:15.87,2,8.89,1:15.79,5,9.61,1:53.81,1,8.91,1:15.69
4,9.04,1:25.175,3,8.92,1:24.791,2,8.86,1:24.650,5,9.97,2:03.772,1,8.91,1:24.595
