KNEGT Sjinkie POSITION,KNEGT Sjinkie LAP TIME,KNEGT Sjinkie ELAPSED TIME,Jakub JAWORSKI POSITION,Jakub JAWORSKI LAP TIME,Jakub JAWORSKI ELAPSED TIME,Nicola RODIGARI POSITION,Nicola RODIGARI LAP TIME,Nicola RODIGARI ELAPSED TIME,SUI Bao Ku POSITION,SUI Bao Ku LAP TIME,SUI Bao Ku ELAPSED TIME
4,13.44,13.44,3,13.33,13.33,2,13.22,13.22,1,13.14,13.14
4,10.37,23.81,3,10.44,23.77,1,10.41,23.63,2,10.50,23.64
1,9.49,33.30,4,9.90,33.67,2,9.78,33.41,3,9.89,33.53
1,10.23,43.53,4,10.18,43.85,3,10.23,43.64,2,10.10,43.63
2,10.12,53.65,4,10.07,53.92,1,9.97,53.61,3,10.14,53.77
2,9.65,1:03.30,4,9.64,1:03.56,1,9.62,1:03.23,3,9.65,1:03.42
2,9.55,1:12.85,4,9.51,1:13.07,1,9.53,1:12.76,3,9.53,1:12.95
2,9.35,1:22.20,4,9.42,1:22.49,1,9.35,1:22.11,3,9.35,1:22.30
1,9.48,1:31.672,4,9.53,1:32.015,2,9.61,1:31.716,3,9.53,1:31.830
