PROSVIRNOVA Sofia POSITION,PROSVIRNOVA Sofia LAP TIME,PROSVIRNOVA Sofia ELAPSED TIME,SHIM Suk Hee POSITION,SHIM Suk Hee LAP TIME,SHIM Suk Hee ELAPSED TIME,Kim BOUTIN POSITION,Kim BOUTIN LAP TIME,Kim BOUTIN ELAPSED TIME,PIERRON Veronique POSITION,PIERRON Veronique LAP TIME,PIERRON Veronique ELAPSED TIME,Marianne ST-GELAIS POSITION,Marianne ST-GELAIS LAP TIME,Marianne ST-GELAIS ELAPSED TIME,Valerie MALTAIS POSITION,Valerie MALTAIS LAP TIME,Valerie MALTAIS ELAPSED TIME
4,13.79,13.79,1,13.39,,2,13.52,13.52,5,13.90,13.90,3,13.68,13.68,6,13.92,13.92
5,10.16,23.95,1,10.10,,3,10.19,23.71,6,10.15,24.05,4,10.15,23.83,2,9.61,23.53
5,9.39,33.34,1,9.47,,3,9.41,33.12,6,9.37,33.42,4,9.42,33.25,2,9.44,32.97
5,9.40,42.74,1,9.41,,2,9.33,42.45,6,9.42,42.84,4,9.39,42.64,3,9.54,42.51
5,9.30,52.04,1,9.25,,2,9.21,51.66,6,9.29,52.13,4,9.31,51.95,3,9.31,51.82
5,9.28,1:01.32,2,9.27,,1,9.06,1:00.72,6,9.30,1:01.43,4,9.26,1:01.21,3,9.34,1:01.16
4,9.01,1:10.33,2,9.10,,1,9.11,1:09.83,5,9.22,1:10.65,3,9.01,1:10.22,6,9.52,1:10.68
4,9.02,1:19.35,2,9.13,,1,9.19,1:19.02,5,9.16,1:19.81,3,8.96,1:19.18,6,9.89,1:20.57
0,9.11,1:28.46,4,9.60,,0,9.42,1:28.44,5,9.27,1:29.08,3,9.40,1:28.58,6,10.34,1:30.91
