Tyson HEUNG POSITION,Tyson HEUNG LAP TIME,Tyson HEUNG ELAPSED TIME,Sergey PRANKEVICH POSITION,Sergey PRANKEVICH LAP TIME,Sergey PRANKEVICH ELAPSED TIME,Elliott SHRIANE POSITION,Elliott SHRIANE LAP TIME,Elliott SHRIANE ELAPSED TIME,Viktor KOROLOV POSITION,Viktor KOROLOV LAP TIME,Viktor KOROLOV ELAPSED TIME,Ingmar van RIEL POSITION,Ingmar van RIEL LAP TIME,Ingmar van RIEL ELAPSED TIME
2,12.38,12.38,1,12.08,12.08,3,12.59,12.59,5,12.73,12.73,4,12.64,12.64
2,9.74,22.12,1,9.77,21.86,3,9.63,22.23,5,10.08,22.81,4,9.69,22.34
2,9.54,31.67,1,9.62,31.48,3,9.57,31.80,5,9.21,32.02,4,9.61,31.95
2,9.58,41.25,1,9.43,40.92,4,9.51,41.32,5,9.63,41.66,3,9.36,41.31
2,9.33,50.59,1,9.49,50.41,3,9.38,50.70,5,9.35,51.02,4,9.59,50.90
1,9.47,1:00.06,4,9.95,1:00.36,2,9.52,1:00.22,5,9.47,1:00.49,3,9.38,1:00.28
2,9.58,1:09.65,1,8.88,1:09.24,3,9.49,1:09.71,5,9.77,1:10.26,4,9.43,1:09.72
2,9.39,1:19.04,1,9.60,1:18.85,3,9.41,1:19.13,5,10.54,1:20.80,4,9.67,1:19.40
2,9.62,1:28.660,1,9.61,1:28.453,3,9.90,1:29.030,5,10.72,1:31.511,4,10.20,1:29.598
