Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME,Roberto PUKITIS POSITION,Roberto PUKITIS LAP TIME,Roberto PUKITIS ELAPSED TIME,Aliaksandr VOLKAU POSITION,Aliaksandr VOLKAU LAP TIME,Aliaksandr VOLKAU ELAPSED TIME,JUNG Hyun Woo (Andy) POSITION,JUNG Hyun Woo (Andy) LAP TIME,JUNG Hyun Woo (Andy) ELAPSED TIME,Einar AGDESTEIN POSITION,Einar AGDESTEIN LAP TIME,Einar AGDESTEIN ELAPSED TIME
1,13.82,13.82,4,14.03,14.03,5,14.06,14.06,2,13.92,13.92,3,13.93,13.93
3,10.29,24.11,4,10.21,24.24,5,10.26,24.32,2,10.15,24.07,1,10.08,24.01
2,9.95,34.06,4,10.01,34.25,5,10.04,34.36,1,9.95,34.02,3,10.12,34.13
2,9.89,43.95,3,9.83,44.08,5,9.91,44.27,1,9.80,43.82,4,10.06,44.19
1,9.59,53.54,3,9.54,53.62,5,9.67,53.94,2,9.73,53.55,4,9.55,53.74
1,9.23,1:02.77,2,9.27,1:02.89,5,9.39,1:03.33,3,9.44,1:02.99,4,9.36,1:03.10
1,9.11,1:11.88,2,9.07,1:11.96,5,9.48,1:12.81,3,9.07,1:12.06,4,9.08,1:12.18
2,9.07,1:20.95,1,8.97,1:20.93,5,9.83,1:22.64,3,9.06,1:21.12,4,9.15,1:21.33
2,9.19,1:30.120,1,9.10,1:30.008,5,10.47,1:33.098,3,9.11,1:30.212,4,9.44,1:30.754
