Niels KERSTHOLT POSITION,Niels KERSTHOLT LAP TIME,Niels KERSTHOLT ELAPSED TIME,Oliver HORSEPOOL POSITION,Oliver HORSEPOOL LAP TIME,Oliver HORSEPOOL ELAPSED TIME,Gregory DURAND POSITION,Gregory DURAND LAP TIME,Gregory DURAND ELAPSED TIME,BYKANOV Vladislav POSITION,BYKANOV Vladislav LAP TIME,BYKANOV Vladislav ELAPSED TIME,Munkhdori GANTUMUR POSITION,Munkhdori GANTUMUR LAP TIME,Munkhdori GANTUMUR ELAPSED TIME
2,8.40,8.40,4,8.46,8.46,1,8.14,8.14,3,8.44,8.44,0,,
4,11.32,19.73,2,10.83,19.30,1,10.10,18.25,3,11.11,19.56,0,,
4,9.38,29.11,2,9.00,28.30,1,9.88,28.13,3,9.28,28.84,0,,
4,9.45,38.56,1,9.50,37.81,2,9.89,38.02,3,9.42,38.27,0,,
4,9.88,48.45,1,10.30,48.11,3,10.18,48.20,2,9.91,48.18,0,,
2,11.11,59.56,1,11.41,59.52,4,11.60,59.81,3,11.38,59.57,0,,
2,11.83,1:11.39,1,11.81,1:11.34,4,11.86,1:11.67,3,11.91,1:11.48,0,,
2,11.45,1:22.85,1,11.40,1:22.74,4,11.40,1:23.08,3,11.39,1:22.88,0,,
2,10.50,1:33.35,1,10.42,1:33.17,4,10.47,1:33.56,3,10.47,1:33.35,0,,
4,10.27,1:43.63,1,10.00,1:43.18,3,9.90,1:43.46,2,10.01,1:43.36,0,,
4,9.63,1:53.26,1,9.68,1:52.86,3,9.76,1:53.23,2,9.74,1:53.11,0,,
4,9.72,2:02.99,1,9.47,2:02.34,3,9.73,2:02.96,2,9.55,2:02.66,0,,
3,9.50,2:12.49,1,9.57,2:11.91,4,9.57,2:12.53,2,9.53,2:12.20,0,,
1,9.39,2:21.877,2,10.00,2:21.909,4,10.47,2:22.997,3,10.13,2:22.326,0,,DNS
