Paul HERRMANN POSITION,Paul HERRMANN LAP TIME,Paul HERRMANN ELAPSED TIME,BREEUWSMA Daan POSITION,BREEUWSMA Daan LAP TIME,BREEUWSMA Daan ELAPSED TIME,Vojtech LOUDIN POSITION,Vojtech LOUDIN LAP TIME,Vojtech LOUDIN ELAPSED TIME,CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME,Anthony DOUGLAS POSITION,Anthony DOUGLAS LAP TIME,Anthony DOUGLAS ELAPSED TIME,Jakub JAWORSKI POSITION,Jakub JAWORSKI LAP TIME,Jakub JAWORSKI ELAPSED TIME
2,7.94,7.94,6,8.57,8.57,3,8.09,8.09,1,7.94,7.94,4,8.23,8.23,5,8.40,8.40
2,11.82,19.76,6,11.63,20.20,3,11.80,19.89,1,11.73,19.67,4,11.77,20.00,5,11.70,20.10
1,11.09,30.85,6,11.21,31.41,3,11.13,31.02,2,11.28,30.95,4,11.11,31.11,5,11.17,31.27
2,10.59,41.44,6,10.47,41.88,1,10.33,41.35,3,10.58,41.53,4,10.51,41.62,5,10.48,41.75
1,9.97,51.41,6,10.01,51.89,2,10.13,51.48,3,10.06,51.59,4,10.04,51.66,5,10.01,51.76
2,9.91,1:01.32,6,9.91,1:01.80,3,9.93,1:01.41,1,9.71,1:01.30,4,9.86,1:01.52,5,9.86,1:01.62
2,9.63,1:10.95,5,9.33,1:11.13,3,9.63,1:11.04,1,9.57,1:10.87,4,9.60,1:11.12,6,9.59,1:11.21
2,10.07,1:21.02,6,33.47,1:44.60,5,25.23,1:36.27,1,10.08,1:20.95,4,11.26,1:22.38,3,9.93,1:21.14
2,10.29,1:31.31,6,17.39,2:01.99,5,15.99,1:52.26,1,10.27,1:31.22,4,9.81,1:32.19,3,10.27,1:31.41
1,9.76,1:41.07,6,13.99,2:15.98,5,12.35,2:04.61,2,9.94,1:41.16,4,9.62,1:41.81,3,9.85,1:41.26
1,9.46,1:50.53,6,13.24,2:29.22,5,12.51,2:17.12,2,9.46,1:50.62,4,9.40,1:51.21,3,9.45,1:50.71
2,9.38,1:59.91,6,12.26,2:41.48,5,11.89,2:29.01,1,9.15,1:59.77,4,9.54,2:00.75,3,9.39,2:00.10
2,9.33,2:09.24,6,12.09,2:53.57,5,11.33,2:40.34,1,9.08,2:08.85,4,9.92,2:10.67,3,9.44,2:09.54
2,9.46,2:18.697,0,,DQ,5,10.88,2:51.220,1,9.09,2:17.940,4,10.39,2:21.051,3,9.48,2:19.013
