BLUNDEN Keanu POSITION,BLUNDEN Keanu LAP TIME,BLUNDEN Keanu ELAPSED TIME,Aliaksandr ARLOU POSITION,Aliaksandr ARLOU LAP TIME,Aliaksandr ARLOU ELAPSED TIME,Dennis VISSER POSITION,Dennis VISSER LAP TIME,Dennis VISSER ELAPSED TIME,Zachary BIGGS POSITION,Zachary BIGGS LAP TIME,Zachary BIGGS ELAPSED TIME
2,12.99,12.99,4,13.22,13.22,3,13.10,13.10,1,12.96,12.96
3,9.55,22.54,4,9.33,22.55,2,9.33,22.43,1,9.39,22.35
4,9.47,32.01,3,9.17,31.72,1,9.05,31.48,2,9.25,31.60
4,9.13,41.14,3,9.25,40.97,1,9.28,40.76,2,9.27,40.87
3,9.18,50.32,4,9.43,50.40,1,9.36,50.12,2,9.36,50.23
3,9.31,59.63,4,9.46,59.86,1,9.28,59.40,2,9.27,59.50
3,9.31,1:08.94,4,9.22,1:09.08,1,9.26,1:08.66,2,9.25,1:08.75
3,9.48,1:18.42,4,9.43,1:18.51,1,9.46,1:18.12,2,9.47,1:18.22
3,9.71,1:28.096,4,9.75,1:28.244,1,9.61,1:27.725,2,9.63,1:27.828
