Torsten KROEGER POSITION,Torsten KROEGER LAP TIME,Torsten KROEGER ELAPSED TIME,CASSINELLI Andrea POSITION,CASSINELLI Andrea LAP TIME,CASSINELLI Andrea ELAPSED TIME,Vladimir GRIGOREV POSITION,Vladimir GRIGOREV LAP TIME,Vladimir GRIGOREV ELAPSED TIME
3,22.45,22.45,2,22.31,22.31,1,22.09,22.09
3,15.98,38.43,2,16.04,38.35,1,16.11,38.20
2,14.40,52.83,3,14.63,52.98,1,14.60,52.80
1,11.74,1:04.57,3,11.85,1:04.83,2,11.88,1:04.68
2,10.30,1:14.87,3,10.15,1:14.98,1,10.02,1:14.70
2,9.35,1:24.22,3,9.32,1:24.30,1,9.42,1:24.12
2,9.06,1:33.28,3,9.10,1:33.40,1,9.06,1:33.18
2,8.80,1:42.08,3,8.75,1:42.15,1,8.82,1:42.00
2,8.96,1:51.037,3,9.41,1:51.553,1,9.00,1:50.994
