START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,season,competition,event,gender,round,race
1,12.73,12.73,2,12.81,12.81,3,12.92,12.92,2019-2020,ISU World Cup 2019/20 - Nagoya (JPN),3000mRelay,w,Quarterfinals,2
1,9.84,22.57,2,9.92,22.73,3,9.91,22.83,2019-2020,ISU World Cup 2019/20 - Nagoya (JPN),3000mRelay,w,Quarterfinals,2
1,9.43,32.00,2,9.40,32.13,3,9.44,32.27,2019-2020,ISU World Cup 2019/20 - Nagoya (JPN),3000mRelay,w,Quarterfinals,2
1,9.37,41.37,2,9.34,41.47,3,9.34,41.61,2019-2020,ISU World Cup 2019/20 - Nagoya (JPN),3000mRelay,w,Quarterfinals,2
1,9.34,50.71,2,9.36,50.83,3,9.42,51.03,2019-2020,ISU World Cup 2019/20 - Nagoya (JPN),3000mRelay,w,Quarterfinals,2
1,9.34,1:00.05,2,9.31,1:00.14,3,9.24,1:00.27,2019-2020,ISU World Cup 2019/20 - Nagoya (JPN),3000mRelay,w,Quarterfinals,2
1,9.29,1:09.34,2,9.29,1:09.43,3,9.27,1:09.54,2019-2020,ISU World Cup 2019/20 - Nagoya (JPN),3000mRelay,w,Quarterfinals,2
1,9.30,1:18.64,2,9.33,1:18.76,3,9.37,1:18.91,2019-2020,ISU World Cup 2019/20 - Nagoya (JPN),3000mRelay,w,Quarterfinals,2
1,9.21,1:27.85,2,9.21,1:27.97,3,9.27,1:28.18,2019-2020,ISU World Cup 2019/20 - Nagoya (JPN),3000mRelay,w,Quarterfinals,2
1,9.33,1:37.18,2,9.30,1:37.27,3,9.28,1:37.46,2019-2020,ISU World Cup 2019/20 - Nagoya (JPN),3000mRelay,w,Quarterfinals,2
1,9.34,1:46.52,2,9.35,1:46.62,3,9.47,1:46.93,2019-2020,ISU World Cup 2019/20 - Nagoya (JPN),3000mRelay,w,Quarterfinals,2
1,9.42,1:55.94,2,9.42,1:56.04,3,9.23,1:56.16,2019-2020,ISU World Cup 2019/20 - Nagoya (JPN),3000mRelay,w,Quarterfinals,2
1,9.24,2:05.18,2,9.24,2:05.28,3,9.24,2:05.40,2019-2020,ISU World Cup 2019/20 - Nagoya (JPN),3000mRelay,w,Quarterfinals,2
1,9.28,2:14.46,2,9.27,2:14.55,3,9.33,2:14.73,2019-2020,ISU World Cup 2019/20 - Nagoya (JPN),3000mRelay,w,Quarterfinals,2
1,9.28,2:23.74,2,9.40,2:23.95,3,9.34,2:24.07,2019-2020,ISU World Cup 2019/20 - Nagoya (JPN),3000mRelay,w,Quarterfinals,2
1,9.40,2:33.14,2,9.23,2:33.18,3,9.36,2:33.43,2019-2020,ISU World Cup 2019/20 - Nagoya (JPN),3000mRelay,w,Quarterfinals,2
1,9.35,2:42.49,2,9.41,2:42.59,3,9.40,2:42.83,2019-2020,ISU World Cup 2019/20 - Nagoya (JPN),3000mRelay,w,Quarterfinals,2
2,9.39,2:51.88,1,9.16,2:51.75,3,9.37,2:52.20,2019-2020,ISU World Cup 2019/20 - Nagoya (JPN),3000mRelay,w,Quarterfinals,2
2,9.31,3:01.19,1,9.37,3:01.12,3,9.09,3:01.29,2019-2020,ISU World Cup 2019/20 - Nagoya (JPN),3000mRelay,w,Quarterfinals,2
2,9.40,3:10.59,1,9.35,3:10.47,3,9.48,3:10.77,2019-2020,ISU World Cup 2019/20 - Nagoya (JPN),3000mRelay,w,Quarterfinals,2
1,9.24,3:19.83,2,9.46,3:19.93,3,9.46,3:20.23,2019-2020,ISU World Cup 2019/20 - Nagoya (JPN),3000mRelay,w,Quarterfinals,2
2,9.52,3:29.35,1,9.41,3:29.34,3,9.54,3:29.77,2019-2020,ISU World Cup 2019/20 - Nagoya (JPN),3000mRelay,w,Quarterfinals,2
2,9.54,3:38.89,1,9.37,3:38.71,3,9.59,3:39.36,2019-2020,ISU World Cup 2019/20 - Nagoya (JPN),3000mRelay,w,Quarterfinals,2
2,9.34,3:48.23,1,9.26,3:47.97,3,9.62,3:48.98,2019-2020,ISU World Cup 2019/20 - Nagoya (JPN),3000mRelay,w,Quarterfinals,2
2,9.24,3:57.47,1,9.15,3:57.12,3,9.27,3:58.25,2019-2020,ISU World Cup 2019/20 - Nagoya (JPN),3000mRelay,w,Quarterfinals,2
2,9.14,4:06.61,1,9.20,4:06.32,3,9.54,4:07.79,2019-2020,ISU World Cup 2019/20 - Nagoya (JPN),3000mRelay,w,Quarterfinals,2
2,9.14,4:15.75,1,9.33,4:15.65,3,9.62,4:17.41,2019-2020,ISU World Cup 2019/20 - Nagoya (JPN),3000mRelay,w,Quarterfinals,2
