Peter DARAZS POSITION,Peter DARAZS LAP TIME,Peter DARAZS ELAPSED TIME,Cees JUFFERMANS POSITION,Cees JUFFERMANS LAP TIME,Cees JUFFERMANS ELAPSED TIME,Haralds SILOVS POSITION,Haralds SILOVS LAP TIME,Haralds SILOVS ELAPSED TIME,Anthony LOBELLO POSITION,Anthony LOBELLO LAP TIME,Anthony LOBELLO ELAPSED TIME
1,13.521,13.521,3,13.742,13.742,2,13.549,13.549,4,14.003,14.003
3,11.008,24.528,2,10.594,24.336,1,10.677,24.225,4,10.736,24.738
1,9.117,33.644,3,9.476,33.811,2,9.496,33.721,4,9.456,34.194
3,9.619,43.262,1,9.302,43.113,2,9.422,43.142,4,9.109,43.302
2,8.975,52.237,1,9.070,52.182,3,9.338,52.480,4,9.281,52.583
1,9.207,1:01.444,4,10.302,1:02.483,2,9.284,1:01.764,3,9.401,1:01.983
4,9.539,1:10.982,1,8.068,1:10.551,2,9.116,1:10.879,3,8.972,1:10.954
2,9.230,1:20.212,1,9.180,1:19.731,4,9.469,1:20.348,3,9.338,1:20.292
4,34.71,1:54.913,2,9.60,1:29.329,3,9.27,1:29.617,1,8.98,1:29.267
