Bor Luka URLEP POSITION,Bor Luka URLEP LAP TIME,Bor Luka URLEP ELAPSED TIME,Felix SPIEGL POSITION,Felix SPIEGL LAP TIME,Felix SPIEGL ELAPSED TIME,NEMIRO Vladyslav POSITION,NEMIRO Vladyslav LAP TIME,NEMIRO Vladyslav ELAPSED TIME,Fabrice DUFBERG SUH POSITION,Fabrice DUFBERG SUH LAP TIME,Fabrice DUFBERG SUH ELAPSED TIME,Shaoang LIU POSITION,Shaoang LIU LAP TIME,Shaoang LIU ELAPSED TIME
4,7.61,7.61,2,7.13,7.13,5,7.73,7.73,2,7.13,7.13,1,7.08,7.08
4,9.65,17.26,3,9.48,16.61,5,9.68,17.41,2,9.32,16.45,1,8.75,15.83
4,9.30,26.56,3,8.73,25.34,5,9.16,26.57,2,8.83,25.28,1,8.60,24.43
5,9.47,36.03,2,8.79,34.13,4,9.28,35.85,3,9.09,34.37,1,8.65,33.08
5,9.63,45.66,2,8.99,43.12,4,9.55,45.40,3,9.21,43.58,1,8.89,41.97
