Istvan GAL ORAVECZ POSITION,Istvan GAL ORAVECZ LAP TIME,Istvan GAL ORAVECZ ELAPSED TIME,Roberto PUKITIS POSITION,Roberto PUKITIS LAP TIME,Roberto PUKITIS ELAPSED TIME,Dmytro POLTAVETS POSITION,Dmytro POLTAVETS LAP TIME,Dmytro POLTAVETS ELAPSED TIME,WU Dajing POSITION,WU Dajing LAP TIME,WU Dajing ELAPSED TIME
2,13.07,13.07,4,13.43,13.43,1,12.82,12.82,3,13.30,13.30
2,9.51,22.58,4,9.35,22.78,1,9.54,22.36,3,9.38,22.68
2,9.39,31.97,4,9.43,32.21,1,9.53,31.89,3,9.44,32.12
3,9.73,41.70,4,9.53,41.74,1,9.54,41.43,2,9.43,41.55
4,9.58,51.28,3,9.40,51.14,1,9.44,50.87,2,9.50,51.05
4,9.63,1:00.91,3,9.48,1:00.62,1,9.51,1:00.38,2,9.47,1:00.52
4,9.82,1:10.73,3,9.51,1:10.13,1,9.58,1:09.96,2,9.54,1:10.06
4,10.31,1:21.04,2,9.47,1:19.60,3,9.68,1:19.64,1,9.39,1:19.45
4,10.81,1:31.842,2,9.42,1:29.016,3,9.92,1:29.559,1,9.35,1:28.798
