John-Henry KRUEGER POSITION,John-Henry KRUEGER LAP TIME,John-Henry KRUEGER ELAPSED TIME,Evgenii KOZULIN POSITION,Evgenii KOZULIN LAP TIME,Evgenii KOZULIN ELAPSED TIME,SONG Weilong POSITION,SONG Weilong LAP TIME,SONG Weilong ELAPSED TIME,Christiaan BOKKERINK POSITION,Christiaan BOKKERINK LAP TIME,Christiaan BOKKERINK ELAPSED TIME,Blake SKJELLERUP POSITION,Blake SKJELLERUP LAP TIME,Blake SKJELLERUP ELAPSED TIME,SIN da Woon POSITION,SIN da Woon LAP TIME,SIN da Woon ELAPSED TIME
5,10.75,10.75,4,10.47,10.47,2,10.31,10.31,1,10.05,10.05,6,10.78,10.78,3,10.35,10.35
5,12.17,22.92,4,12.31,22.78,3,12.30,22.61,1,12.15,22.20,6,12.27,23.05,2,11.98,22.33
5,11.34,34.26,4,11.33,34.11,3,11.36,33.97,1,11.41,33.61,6,11.28,34.33,2,11.44,33.77
5,11.32,45.58,4,11.32,45.43,3,11.31,45.28,1,11.39,45.00,6,11.28,45.61,2,11.35,45.12
5,11.58,57.16,4,11.60,57.03,3,11.60,56.88,1,11.63,56.63,6,11.58,57.19,2,11.62,56.74
6,10.45,1:07.61,4,10.42,1:07.45,3,10.47,1:07.35,1,10.52,1:07.15,5,10.32,1:07.51,2,10.50,1:07.24
6,9.88,1:17.49,4,9.74,1:17.19,3,9.76,1:17.11,2,9.87,1:17.02,5,9.85,1:17.36,1,9.70,1:16.94
6,9.79,1:27.28,4,9.85,1:27.04,3,9.82,1:26.93,2,9.81,1:26.83,5,9.81,1:27.17,1,9.81,1:26.75
6,9.51,1:36.79,4,9.48,1:36.52,2,9.37,1:36.30,3,9.59,1:36.42,5,9.53,1:36.70,1,9.44,1:36.19
5,9.04,1:45.83,4,9.17,1:45.69,2,9.19,1:45.49,3,9.17,1:45.59,6,9.30,1:46.00,1,9.17,1:45.36
5,8.89,1:54.72,4,9.02,1:54.71,2,9.00,1:54.49,3,9.03,1:54.62,6,9.37,1:55.37,1,9.07,1:54.43
4,9.01,2:03.73,5,9.15,2:03.86,2,9.02,2:03.51,3,9.02,2:03.64,6,9.64,2:05.01,1,9.03,2:03.46
4,9.13,2:12.86,5,9.09,2:12.95,2,9.03,2:12.54,3,9.19,2:12.83,6,10.21,2:15.22,1,9.00,2:12.46
4,9.66,2:22.520,3,9.27,2:22.215,2,9.22,2:21.757,5,9.86,2:22.681,6,10.94,2:26.159,1,9.18,2:21.632
