Charlotte GILMARTIN POSITION,Charlotte GILMARTIN LAP TIME,Charlotte GILMARTIN ELAPSED TIME,BURIC Katarina POSITION,BURIC Katarina LAP TIME,BURIC Katarina ELAPSED TIME,MALAGICH Emina POSITION,MALAGICH Emina LAP TIME,MALAGICH Emina ELAPSED TIME,PIERRON Veronique POSITION,PIERRON Veronique LAP TIME,PIERRON Veronique ELAPSED TIME
1,15.41,15.41,4,15.77,15.77,2,15.53,15.53,3,15.68,15.68
1,11.88,27.29,4,12.01,27.78,3,12.09,27.62,2,11.78,27.46
1,11.42,38.71,4,11.20,38.98,2,11.15,38.77,3,11.38,38.84
1,10.70,49.41,4,10.71,49.69,2,10.65,49.42,3,10.72,49.56
2,10.14,59.55,4,10.06,59.75,1,10.04,59.46,3,10.09,59.65
2,10.29,1:09.84,4,10.31,1:10.06,1,10.31,1:09.77,3,10.29,1:09.94
1,9.55,1:19.39,4,9.82,1:19.88,3,9.96,1:19.73,2,9.56,1:19.50
1,9.53,1:28.92,4,9.86,1:29.74,3,9.73,1:29.46,2,9.53,1:29.03
2,,1:38.442,4,10.02,1:39.750,3,9.96,1:39.393,1,,1:38.438
