Alica PORUBSKA POSITION,Alica PORUBSKA LAP TIME,Alica PORUBSKA ELAPSED TIME,van KERKHOF Yara POSITION,van KERKHOF Yara LAP TIME,van KERKHOF Yara ELAPSED TIME,WALTER Bianca POSITION,WALTER Bianca LAP TIME,WALTER Bianca ELAPSED TIME,Veronika WINDISCH POSITION,Veronika WINDISCH LAP TIME,Veronika WINDISCH ELAPSED TIME
4,14.24,14.24,2,14.02,14.02,3,14.14,14.14,1,13.96,13.96
3,10.80,25.04,2,10.93,24.95,4,10.95,25.09,1,10.90,24.86
3,10.10,35.14,1,9.97,34.92,4,10.09,35.18,2,10.16,35.02
4,9.96,45.10,1,9.96,44.88,2,9.82,45.00,3,9.98,45.00
3,9.67,54.77,1,9.72,54.60,4,9.95,54.95,2,9.75,54.75
4,10.12,1:04.89,1,9.91,1:04.51,3,9.78,1:04.73,2,9.84,1:04.59
4,10.10,1:14.99,1,10.06,1:14.57,3,10.03,1:14.76,2,10.08,1:14.67
4,10.14,1:25.13,1,10.21,1:24.78,3,10.22,1:24.98,2,10.21,1:24.88
3,10.28,1:35.408,1,10.40,1:35.175,0,,PEN,2,10.41,1:35.286
