ZHAXYBAYEV Mersaid POSITION,ZHAXYBAYEV Mersaid LAP TIME,ZHAXYBAYEV Mersaid ELAPSED TIME,ANIKEJ Rafal POSITION,ANIKEJ Rafal LAP TIME,ANIKEJ Rafal ELAPSED TIME,Davide VISCARDI POSITION,Davide VISCARDI LAP TIME,Davide VISCARDI ELAPSED TIME,Davut TAHTACI POSITION,Davut TAHTACI LAP TIME,Davut TAHTACI ELAPSED TIME,Atiip NAVARAT POSITION,Atiip NAVARAT LAP TIME,Atiip NAVARAT ELAPSED TIME
3,16.14,16.14,2,16.04,16.04,1,15.91,15.91,4,16.23,16.23,5,16.41,16.41
2,12.06,28.20,3,12.24,28.28,1,12.16,28.07,4,12.13,28.36,5,12.03,28.44
2,11.38,39.58,3,11.41,39.69,1,11.42,39.49,4,11.44,39.80,5,11.51,39.95
3,10.59,50.17,1,10.08,49.77,2,10.49,49.98,4,10.48,50.28,5,10.60,50.55
3,9.44,59.61,1,9.65,59.42,2,9.55,59.53,4,9.43,59.71,5,10.29,1:00.84
3,9.08,1:08.69,1,9.10,1:08.52,2,9.01,1:08.54,4,9.08,1:08.79,5,10.83,1:11.67
2,9.00,1:17.69,4,9.46,1:17.98,1,9.06,1:17.60,3,9.02,1:17.81,5,11.08,1:22.75
2,9.03,1:26.72,4,9.13,1:27.11,1,9.00,1:26.60,3,9.13,1:26.94,5,11.79,1:34.54
2,9.24,1:35.96,4,9.46,1:36.549,1,9.18,1:35.78,3,9.32,1:36.242,5,12.13,1:46.636
