Sascha LAUBER POSITION,Sascha LAUBER LAP TIME,Sascha LAUBER ELAPSED TIME,Benjamin KOCH POSITION,Benjamin KOCH LAP TIME,Benjamin KOCH ELAPSED TIME,Martin JOHANSSON POSITION,Martin JOHANSSON LAP TIME,Martin JOHANSSON ELAPSED TIME,Jean Charles MATTEI POSITION,Jean Charles MATTEI LAP TIME,Jean Charles MATTEI ELAPSED TIME,Helmuts SILOVS POSITION,Helmuts SILOVS LAP TIME,Helmuts SILOVS ELAPSED TIME
4,9.090,9.090,2,8.912,8.912,1,8.759,8.759,5,9.138,9.138,3,8.942,8.942
5,12.439,21.528,2,12.334,21.245,1,12.322,21.081,3,12.128,21.265,4,12.437,21.379
5,11.811,33.339,2,11.747,32.991,1,11.780,32.861,3,11.948,33.213,4,11.911,33.289
2,11.084,44.423,3,11.507,44.498,1,11.409,44.269,5,11.562,44.774,4,11.428,44.717
3,10.743,55.166,2,10.658,55.156,1,10.662,54.931,5,10.778,55.552,4,10.662,55.378
3,10.262,1:05.427,2,10.206,1:05.361,1,10.367,1:05.298,5,10.366,1:05.917,4,10.415,1:05.793
2,9.942,1:15.369,3,10.130,1:15.491,1,9.957,1:15.254,4,10.398,1:16.314,5,12.280,1:18.072
1,9.619,1:24.988,3,9.796,1:25.286,2,9.767,1:25.021,4,11.189,1:27.503,5,19.469,1:37.541
1,9.613,1:34.600,3,10.124,1:35.409,2,9.623,1:34.643,4,9.280,1:36.782,5,11.130,1:48.670
2,9.568,1:44.168,3,10.173,1:45.582,1,9.504,1:44.147,4,9.415,1:46.197,5,11.442,2:00.112
2,9.830,1:53.997,4,10.655,1:56.237,1,9.825,1:53.972,3,9.745,1:55.941,5,11.409,2:11.520
2,10.002,2:03.999,4,10.645,2:06.881,1,10.005,2:03.976,3,10.279,2:06.220,5,11.963,2:23.483
2,10.398,2:14.397,4,10.945,2:17.826,1,10.344,2:14.320,3,10.791,2:17.011,5,12.134,2:35.617
2,10.81,2:25.207,4,11.01,2:28.831,1,10.84,2:25.155,3,11.36,2:28.368,5,11.45,2:47.062
