HAN Tianyu POSITION,HAN Tianyu LAP TIME,HAN Tianyu ELAPSED TIME,LEPAPE Sebastien POSITION,LEPAPE Sebastien LAP TIME,LEPAPE Sebastien ELAPSED TIME,Victor AN POSITION,Victor AN LAP TIME,Victor AN ELAPSED TIME,Jack WHELBOURNE POSITION,Jack WHELBOURNE LAP TIME,Jack WHELBOURNE ELAPSED TIME
2,13.66,13.66,1,13.60,13.60,4,13.86,13.86,3,13.67,13.67
2,10.75,24.41,1,10.72,24.32,4,10.82,24.68,3,10.89,24.56
2,10.64,35.05,1,10.63,34.95,4,10.67,35.35,3,10.68,35.24
2,9.76,44.81,1,9.77,44.72,4,9.72,45.07,3,9.71,44.95
2,9.43,54.24,1,9.40,54.12,4,9.39,54.46,3,9.41,54.36
1,8.98,1:03.22,2,9.18,1:03.30,4,9.09,1:03.55,3,9.12,1:03.48
1,9.05,1:12.27,2,9.05,1:12.35,4,8.99,1:12.54,3,8.97,1:12.45
1,9.14,1:21.41,2,9.10,1:21.45,4,9.03,1:21.57,3,9.02,1:21.47
1,9.29,1:30.694,3,10.87,1:32.312,2,9.31,1:30.879,0,,PEN
