SUI Bao Ku POSITION,SUI Bao Ku LAP TIME,SUI Bao Ku ELAPSED TIME,HAMELIN Charles POSITION,HAMELIN Charles LAP TIME,HAMELIN Charles ELAPSED TIME,Takafumi NISHITANI POSITION,Takafumi NISHITANI LAP TIME,Takafumi NISHITANI ELAPSED TIME,Apolo Anton OHNO POSITION,Apolo Anton OHNO LAP TIME,Apolo Anton OHNO ELAPSED TIME
1,6.721,6.721,3,6.831,6.831,2,6.773,6.773,4,7.105,7.105
3,9.242,15.962,1,8.882,15.713,2,9.009,15.781,4,8.956,16.061
3,8.700,24.662,1,8.584,24.296,2,8.795,24.576,4,8.753,24.813
3,8.816,33.477,1,8.777,33.072,2,8.605,33.181,4,8.708,33.521
4,9.16,42.633,1,9.14,42.212,3,9.18,42.355,2,8.84,42.354
