Marie-Eve DROLET POSITION,Marie-Eve DROLET LAP TIME,Marie-Eve DROLET ELAPSED TIME,Veronika WINDISCH POSITION,Veronika WINDISCH LAP TIME,Veronika WINDISCH ELAPSED TIME,Duygu KAN POSITION,Duygu KAN LAP TIME,Duygu KAN ELAPSED TIME,Julia RIEDEL POSITION,Julia RIEDEL LAP TIME,Julia RIEDEL ELAPSED TIME
1,14.30,14.30,3,14.42,14.42,4,14.65,14.65,2,14.30,14.30
2,10.17,24.47,3,10.19,24.61,4,10.75,25.40,1,10.07,24.37
2,10.04,34.51,3,10.04,34.65,4,10.91,36.31,1,10.03,34.40
2,10.06,44.57,3,10.03,44.68,4,11.12,47.43,1,10.06,44.46
1,9.94,54.51,3,10.02,54.70,4,11.55,58.98,2,10.14,54.60
1,9.82,1:04.33,2,9.90,1:04.60,4,12.00,1:10.98,3,10.30,1:04.90
1,9.77,1:14.10,2,9.71,1:14.31,4,12.41,1:23.39,3,10.03,1:14.93
1,10.00,1:24.10,2,9.88,1:24.19,4,13.10,1:36.49,3,10.19,1:25.12
1,10.23,1:34.324,2,10.31,1:34.498,4,13.25,1:49.738,3,10.49,1:35.608
