Arianna FONTANA POSITION,Arianna FONTANA LAP TIME,Arianna FONTANA ELAPSED TIME,Vera TRYBUL POSITION,Vera TRYBUL LAP TIME,Vera TRYBUL ELAPSED TIME,Tunde BALAZS POSITION,Tunde BALAZS LAP TIME,Tunde BALAZS ELAPSED TIME,STORMOWSKA Kamila POSITION,STORMOWSKA Kamila LAP TIME,STORMOWSKA Kamila ELAPSED TIME,EFREMENKOVA Ekaterina POSITION,EFREMENKOVA Ekaterina LAP TIME,EFREMENKOVA Ekaterina ELAPSED TIME
2,15.05,15.05,5,15.29,15.29,3,15.13,15.13,4,15.17,15.17,1,14.95,14.95
2,10.60,25.65,3,10.42,25.71,5,10.70,25.83,3,10.54,25.71,1,10.63,25.58
2,10.00,35.65,4,10.20,35.91,5,10.18,36.01,3,10.04,35.75,1,9.98,35.56
2,9.96,45.61,4,9.86,45.77,5,9.90,45.91,3,9.92,45.67,1,9.93,45.49
3,10.01,55.62,4,10.03,55.80,5,10.02,55.93,2,9.94,55.61,1,10.06,55.55
3,9.74,1:05.36,4,9.87,1:05.67,5,9.96,1:05.89,2,9.66,1:05.27,1,9.59,1:05.14
3,9.38,1:14.74,4,9.87,1:15.54,5,10.22,1:16.11,2,9.44,1:14.71,1,9.44,1:14.58
2,9.44,1:24.18,4,10.18,1:25.72,5,10.68,1:26.79,3,9.64,1:24.35,1,9.51,1:24.09
1,9.57,1:33.75,4,10.68,1:36.401,5,11.17,1:37.965,3,9.94,1:34.292,2,9.74,1:33.83
