Shaolin Sandor LIU POSITION,Shaolin Sandor LIU LAP TIME,Shaolin Sandor LIU ELAPSED TIME,Nihad BASIC POSITION,Nihad BASIC LAP TIME,Nihad BASIC ELAPSED TIME,Jose CAVALLI POSITION,Jose CAVALLI LAP TIME,Jose CAVALLI ELAPSED TIME,Ievgen GUTENOV POSITION,Ievgen GUTENOV LAP TIME,Ievgen GUTENOV ELAPSED TIME,KNEGT Sjinkie POSITION,KNEGT Sjinkie LAP TIME,KNEGT Sjinkie ELAPSED TIME
5,10.46,10.46,2,9.94,9.94,1,9.82,9.82,3,10.12,10.12,4,10.27,10.27
5,13.16,23.62,3,13.32,23.26,2,13.30,23.12,1,12.86,22.98,4,13.17,23.44
5,12.22,35.84,3,12.33,35.59,2,12.35,35.47,1,12.37,35.35,4,12.26,35.70
5,12.13,47.97,3,12.12,47.71,2,12.06,47.53,1,12.04,47.39,4,12.13,47.83
5,11.57,59.54,3,11.64,59.35,2,11.71,59.24,1,11.72,59.11,4,11.60,59.43
5,11.21,1:10.75,3,11.14,1:10.49,2,11.14,1:10.38,1,11.14,1:10.25,4,11.20,1:10.63
5,10.69,1:21.44,3,10.72,1:21.21,2,10.74,1:21.12,1,10.75,1:21.00,4,10.69,1:21.32
5,10.02,1:31.46,3,10.06,1:31.27,2,10.07,1:31.19,1,10.08,1:31.08,4,10.10,1:31.42
1,9.02,1:40.48,4,9.50,1:40.77,2,9.42,1:40.61,3,9.54,1:40.62,5,9.37,1:40.79
1,9.47,1:49.95,5,9.56,1:50.33,3,9.44,1:50.05,4,9.67,1:50.29,2,9.21,1:50.00
2,9.23,1:59.18,5,9.86,2:00.19,3,9.36,1:59.41,4,9.36,1:59.65,1,9.05,1:59.05
2,9.15,2:08.33,5,10.00,2:10.19,3,9.40,2:08.81,4,9.32,2:08.97,1,9.18,2:08.23
2,9.07,2:17.40,5,10.48,2:20.67,4,9.81,2:18.62,3,9.58,2:18.55,1,9.05,2:17.28
2,9.27,2:26.669,5,11.14,2:31.808,4,10.12,2:28.735,3,10.10,2:28.649,1,9.11,2:26.381
