KONSTANTINOVA Ekaterina POSITION,KONSTANTINOVA Ekaterina LAP TIME,KONSTANTINOVA Ekaterina ELAPSED TIME,STODDARD Corinne POSITION,STODDARD Corinne LAP TIME,STODDARD Corinne ELAPSED TIME,KIKUCHI Yuki POSITION,KIKUCHI Yuki LAP TIME,KIKUCHI Yuki ELAPSED TIME,TIKHONOVA Olga POSITION,TIKHONOVA Olga LAP TIME,TIKHONOVA Olga ELAPSED TIME,HAYWARD Charlotte POSITION,HAYWARD Charlotte LAP TIME,HAYWARD Charlotte ELAPSED TIME
3,14.30,14.30,1,13.99,13.99,2,14.15,14.15,4,14.47,14.47,5,14.61,14.61
3,10.70,25.00,1,10.74,24.73,2,10.70,24.85,4,10.64,25.11,5,10.62,25.23
4,10.66,35.66,1,10.70,35.43,2,10.68,35.53,3,10.52,35.63,5,10.55,35.78
2,9.61,45.27,1,9.83,45.26,3,9.79,45.32,4,9.81,45.44,5,9.94,45.72
1,9.28,54.55,3,9.72,54.98,4,9.84,55.16,2,9.44,54.88,5,10.09,55.81
1,9.63,1:04.18,3,9.42,1:04.40,4,9.49,1:04.65,2,9.37,1:04.25,5,10.47,1:06.28
2,9.89,1:14.07,3,9.75,1:14.15,4,9.56,1:14.21,1,9.62,1:13.87,5,10.94,1:17.22
2,9.77,1:23.84,3,9.78,1:23.93,4,9.81,1:24.02,1,9.87,1:23.74,5,11.78,1:29.00
4,10.26,1:34.104,2,9.95,1:33.884,3,10.03,1:34.056,1,10.01,1:33.75,5,12.23,1:41.236
