HAN Tianyu POSITION,HAN Tianyu LAP TIME,HAN Tianyu ELAPSED TIME,NOH Jinkyu POSITION,NOH Jinkyu LAP TIME,NOH Jinkyu ELAPSED TIME,Viacheslav KURGINIAN POSITION,Viacheslav KURGINIAN LAP TIME,Viacheslav KURGINIAN ELAPSED TIME,Freek van der WART POSITION,Freek van der WART LAP TIME,Freek van der WART ELAPSED TIME
4,12.73,12.73,2,12.53,12.53,1,12.45,12.45,3,12.64,12.64
4,9.63,22.36,1,9.55,22.08,2,9.64,22.09,3,9.61,22.25
4,9.22,31.58,1,9.25,31.33,2,9.33,31.42,3,9.28,31.53
3,9.15,40.73,1,9.24,40.57,2,9.25,40.67,4,9.20,40.73
3,9.23,49.96,1,9.19,49.76,2,9.20,49.87,4,9.34,50.07
3,9.06,59.02,1,9.04,58.80,4,9.29,59.16,2,8.88,58.95
3,9.04,1:08.06,1,8.96,1:07.76,4,9.06,1:08.22,2,8.93,1:07.88
3,8.89,1:16.95,1,8.95,1:16.71,4,9.04,1:17.26,2,8.92,1:16.80
3,8.99,1:25.936,1,9.03,1:25.732,4,9.53,1:26.783,2,9.00,1:25.799
