Paul HERRMANN POSITION,Paul HERRMANN LAP TIME,Paul HERRMANN ELAPSED TIME,Vojtech LOUDIN POSITION,Vojtech LOUDIN LAP TIME,Vojtech LOUDIN ELAPSED TIME,Timothy DEWISPELAERE POSITION,Timothy DEWISPELAERE LAP TIME,Timothy DEWISPELAERE ELAPSED TIME,Bartosz KONOPKO POSITION,Bartosz KONOPKO LAP TIME,Bartosz KONOPKO ELAPSED TIME
1,13.50,13.50,2,13.61,13.61,4,13.92,13.92,3,13.75,13.75
1,10.50,24.00,2,10.48,24.09,3,10.22,24.14,4,10.47,24.22
1,9.52,33.52,2,9.50,33.59,4,9.67,33.81,3,9.46,33.68
2,9.78,43.30,1,9.67,43.26,4,9.80,43.61,3,9.75,43.43
2,9.68,52.98,4,28.64,1:11.90,3,9.54,53.15,1,9.45,52.88
2,9.43,1:02.41,4,24.36,1:36.26,3,9.49,1:02.64,1,9.40,1:02.28
2,9.22,1:11.63,4,11.41,1:47.67,3,9.49,1:12.13,1,9.19,1:11.47
2,9.20,1:20.83,4,10.73,1:58.40,3,9.69,1:21.82,1,9.30,1:20.77
1,9.57,1:30.397,3,10.99,2:09.384,2,9.92,1:31.734,0,,DQ
