NETHERLANDS POSITION,NETHERLANDS LAP TIME,NETHERLANDS ELAPSED TIME,KOREA POSITION,KOREA LAP TIME,KOREA ELAPSED TIME,BULGARIA POSITION,BULGARIA LAP TIME,BULGARIA ELAPSED TIME
1,12.00,12.00,2,12.19,12.19,3,12.42,12.42
1,9.60,21.60,2,9.43,21.62,3,9.39,21.81
1,9.18,30.78,2,9.34,30.96,3,9.31,31.12
2,9.57,40.35,1,9.36,40.32,3,9.93,41.05
1,9.33,49.68,2,9.43,49.75,3,9.35,50.40
1,9.48,59.16,2,9.45,59.20,3,9.50,59.90
1,9.57,1:08.73,2,9.55,1:08.75,3,9.15,1:09.05
2,9.32,1:18.05,1,9.05,1:17.80,3,9.28,1:18.33
2,9.35,1:27.40,1,9.40,1:27.20,3,9.65,1:27.98
2,9.45,1:36.85,1,9.31,1:36.51,3,9.83,1:37.81
2,9.59,1:46.44,1,9.16,1:45.67,3,9.71,1:47.52
2,9.61,1:56.05,1,9.62,1:55.29,3,9.77,1:57.29
2,9.22,2:05.27,1,9.30,2:04.59,3,9.39,2:06.68
2,9.19,2:14.46,1,9.35,2:13.94,3,9.35,2:16.03
2,9.48,2:23.94,1,9.54,2:23.48,3,9.93,2:25.96
2,9.65,2:33.59,1,9.04,2:32.52,3,10.15,2:36.11
2,9.99,2:43.58,1,9.53,2:42.05,3,10.10,2:46.21
2,9.81,2:53.39,1,9.54,2:51.59,3,9.85,2:56.06
2,9.86,3:03.25,1,9.40,3:00.99,3,9.62,3:05.68
2,9.17,3:12.42,1,9.35,3:10.34,3,9.74,3:15.42
2,9.87,3:22.29,1,9.54,3:19.88,3,10.53,3:25.95
2,9.81,3:32.10,1,9.33,3:29.21,3,10.12,3:36.07
2,10.13,3:42.23,1,9.27,3:38.48,3,10.13,3:46.20
2,9.97,3:52.20,1,9.72,3:48.20,3,10.27,3:56.47
2,9.79,4:01.99,1,9.44,3:57.64,3,9.34,4:05.81
2,10.09,4:12.08,1,9.33,4:06.97,3,9.98,4:15.79
2,10.56,4:22.636,1,9.73,4:16.698,3,10.53,4:26.316
