Roberto PUKITIS POSITION,Roberto PUKITIS LAP TIME,Roberto PUKITIS ELAPSED TIME,Vincent JEANNE POSITION,Vincent JEANNE LAP TIME,Vincent JEANNE ELAPSED TIME,SEO Yi Ra POSITION,SEO Yi Ra LAP TIME,SEO Yi Ra ELAPSED TIME,HAMELIN Charles POSITION,HAMELIN Charles LAP TIME,HAMELIN Charles ELAPSED TIME
4,13.94,13.94,3,13.92,13.92,2,13.83,13.83,1,13.71,13.71
4,10.23,24.17,3,10.24,24.16,1,10.16,23.99,2,10.34,24.05
1,9.32,33.49,4,9.68,33.84,3,9.71,33.70,2,9.54,33.59
1,9.32,42.81,4,9.28,43.12,3,9.30,43.00,2,9.28,42.87
1,9.10,51.91,4,9.09,52.21,3,9.12,52.12,2,9.12,51.99
1,9.01,1:00.92,4,9.05,1:01.26,3,9.02,1:01.14,2,8.94,1:00.93
3,9.05,1:09.97,4,8.84,1:10.10,2,8.74,1:09.88,1,8.76,1:09.69
4,9.04,1:19.01,3,8.76,1:18.86,2,8.79,1:18.67,1,8.87,1:18.56
4,9.49,1:28.494,3,8.81,1:27.663,2,8.75,1:27.411,1,8.78,1:27.332
