Marielle LOOTSMA POSITION,Marielle LOOTSMA LAP TIME,Marielle LOOTSMA ELAPSED TIME,SOLOMATINA Olga POSITION,SOLOMATINA Olga LAP TIME,SOLOMATINA Olga ELAPSED TIME,Sarah LINDSAY POSITION,Sarah LINDSAY LAP TIME,Sarah LINDSAY ELAPSED TIME,CHO Ha-Ri POSITION,CHO Ha-Ri LAP TIME,CHO Ha-Ri ELAPSED TIME,YANG A Yang POSITION,YANG A Yang LAP TIME,YANG A Yang ELAPSED TIME
4,10.515,10.515,5,10.554,10.554,2,10.414,10.414,3,10.506,10.506,1,10.293,10.293
5,13.614,24.128,1,13.286,23.839,2,13.480,23.894,3,13.400,23.905,4,13.697,23.989
1,10.914,35.042,3,11.418,35.257,4,11.538,35.431,2,11.168,35.072,5,11.598,35.587
1,11.189,46.230,3,11.332,46.589,4,11.179,46.610,2,11.270,46.341,5,11.125,46.712
1,11.999,58.228,4,11.981,58.570,3,11.955,58.565,2,11.979,58.320,5,11.952,58.664
1,12.170,1:10.397,5,12.158,1:10.727,4,12.102,1:10.666,2,12.111,1:10.431,3,11.877,1:10.540
3,10.490,1:20.887,5,10.687,1:21.414,4,10.450,1:21.116,2,10.344,1:20.774,1,10.105,1:20.645
1,9.695,1:30.582,5,10.173,1:31.586,4,9.932,1:31.047,3,10.028,1:30.801,2,10.096,1:30.741
3,10.556,1:41.138,5,10.292,1:41.878,4,10.298,1:41.344,2,10.197,1:40.998,1,10.202,1:40.942
3,10.102,1:51.239,5,10.455,1:52.332,4,10.085,1:51.428,2,10.219,1:51.217,1,10.188,1:51.130
3,10.285,2:01.524,5,10.648,2:02.979,4,10.229,2:01.657,2,10.124,2:01.340,1,10.121,2:01.251
3,10.175,2:11.699,5,10.937,2:13.916,4,10.080,2:11.737,2,9.977,2:11.316,1,9.955,2:11.205
4,10.832,2:22.531,5,11.411,2:25.327,3,10.576,2:22.312,2,9.953,2:21.269,1,9.945,2:21.150
3,10.83,2:33.354,4,11.84,2:37.166,0,,DQ,2,9.96,2:31.230,1,10.05,2:31.194
