CHINA POSITION,CHINA LAP TIME,CHINA ELAPSED TIME,UNITED STATES POSITION,UNITED STATES LAP TIME,UNITED STATES ELAPSED TIME,GREAT BRITAIN POSITION,GREAT BRITAIN LAP TIME,GREAT BRITAIN ELAPSED TIME
2,12.410,12.410,1,12.360,12.360,3,12.450,12.450
2,10.210,22.630,1,10.170,22.540,3,10.320,22.770
1,9.740,32.370,2,9.860,32.410,3,9.850,32.630
2,9.580,41.960,1,9.450,41.860,3,9.390,42.020
1,9.480,51.450,2,9.690,51.560,3,9.550,51.570
2,9.940,1:01.390,1,9.820,1:01.390,3,9.910,1:01.490
1,10.100,1:11.490,2,10.120,1:11.510,3,10.270,1:11.770
2,10.040,1:21.540,1,9.860,1:21.370,3,9.870,1:21.640
2,9.350,1:30.900,1,9.480,1:30.860,3,9.630,1:31.270
2,9.480,1:40.380,1,9.490,1:40.360,3,9.230,1:40.510
1,9.420,1:49.810,2,9.450,1:49.810,3,9.410,1:49.920
1,9.490,1:59.300,3,9.590,1:59.410,2,9.460,1:59.390
1,9.640,2:08.950,2,9.700,2:09.110,3,9.850,2:09.240
2,9.750,2:18.700,1,9.550,2:18.670,3,9.690,2:18.930
1,9.270,2:27.970,2,9.500,2:28.170,3,9.370,2:28.300
1,9.400,2:37.380,2,9.250,2:37.420,3,9.260,2:37.560
1,9.300,2:46.690,2,9.320,2:46.750,3,9.270,2:46.840
1,9.430,2:56.120,2,9.530,2:56.280,3,9.550,2:56.390
1,9.290,3:05.420,2,9.510,3:05.790,3,9.510,3:05.910
1,9.200,3:14.620,2,9.310,3:15.110,3,9.340,3:15.250
1,9.520,3:24.150,2,9.110,3:24.220,3,9.300,3:24.550
1,9.380,3:33.530,2,9.340,3:33.570,3,9.160,3:33.720
1,9.340,3:42.870,2,9.410,3:42.980,3,9.380,3:43.100
2,9.510,3:52.380,1,9.300,3:52.290,3,9.350,3:52.460
1,9.250,4:01.640,3,9.570,4:01.870,2,9.340,4:01.800
1,9.460,4:11.100,2,9.490,4:11.360,3,9.560,4:11.370
1,9.440,4:20.540,2,9.430,4:20.790,3,9.560,4:20.930
1,8.990,4:29.540,3,9.400,4:30.200,2,9.220,4:30.160
1,9.320,4:38.860,3,9.230,4:39.440,2,9.220,4:39.380
1,9.370,4:48.230,2,9.270,4:48.720,3,9.420,4:48.800
1,9.200,4:57.440,2,9.310,4:58.040,3,9.410,4:58.220
1,9.190,5:06.630,2,9.160,5:07.200,3,9.250,5:07.480
1,9.190,5:15.830,2,9.100,5:16.310,3,9.220,5:16.710
1,9.300,5:25.140,2,9.230,5:25.540,3,9.310,5:26.020
1,9.420,5:34.570,2,9.560,5:35.100,3,9.580,5:35.610
1,9.340,5:43.910,2,9.120,5:44.230,3,9.520,5:45.130
1,9.270,5:53.180,2,9.600,5:53.830,3,9.310,5:54.440
1,9.230,6:02.420,2,9.530,6:03.360,3,9.330,6:03.780
1,9.510,6:11.930,2,9.490,6:12.850,3,9.320,6:13.110
1,9.290,6:21.220,2,9.430,6:22.290,3,9.400,6:22.520
1,9.450,6:30.670,2,9.510,6:31.800,3,10.010,6:32.540
1,9.610,6:40.280,2,9.400,6:41.200,3,9.480,6:42.020
1,9.410,6:49.700,2,9.360,6:50.570,3,9.520,6:51.550
1,9.630,6:59.330,2,9.340,6:59.910,3,9.150,7:00.700
1,9.860,7:09.190,2,10.060,7:09.970,3,9.500,7:10.200
