Biba SAKURAI POSITION,Biba SAKURAI LAP TIME,Biba SAKURAI ELAPSED TIME,Bernadett HEIDUM POSITION,Bernadett HEIDUM LAP TIME,Bernadett HEIDUM ELAPSED TIME,LIU Qiuhong POSITION,LIU Qiuhong LAP TIME,LIU Qiuhong ELAPSED TIME,Katherine REUTTER-ADAMEK POSITION,Katherine REUTTER-ADAMEK LAP TIME,Katherine REUTTER-ADAMEK ELAPSED TIME,KIM Min-Jung POSITION,KIM Min-Jung LAP TIME,KIM Min-Jung ELAPSED TIME,Kalyna ROBERGE POSITION,Kalyna ROBERGE LAP TIME,Kalyna ROBERGE ELAPSED TIME
1,8.75,8.75,3,9.01,9.01,6,9.38,9.38,2,8.93,8.93,5,9.23,9.23,4,9.10,9.10
4,12.72,21.47,2,12.37,21.38,1,11.86,21.24,3,12.54,21.47,5,12.43,21.66,6,12.69,21.79
3,10.43,31.90,2,10.42,31.80,1,10.53,31.77,4,10.59,32.06,6,10.66,32.32,5,10.34,32.13
3,11.33,43.23,2,11.40,43.20,1,11.34,43.11,4,11.26,43.32,6,11.37,43.69,5,11.37,43.50
1,10.38,53.61,2,10.43,53.63,5,10.82,53.93,3,10.31,53.63,6,10.45,54.14,4,10.38,53.88
5,10.45,1:04.06,4,10.30,1:03.93,3,9.99,1:03.92,2,10.21,1:03.84,6,10.27,1:04.41,1,9.83,1:03.71
5,10.48,1:14.54,4,10.57,1:14.50,3,10.48,1:14.40,2,10.45,1:14.29,6,10.44,1:14.85,1,10.44,1:14.15
4,10.56,1:25.10,5,10.70,1:25.20,3,10.61,1:25.01,2,10.63,1:24.92,6,10.40,1:25.25,1,10.63,1:24.78
6,10.05,1:35.15,4,9.83,1:35.03,5,10.03,1:35.04,3,10.00,1:34.92,1,9.59,1:34.84,2,10.08,1:34.86
6,9.56,1:44.71,5,9.68,1:44.71,3,9.57,1:44.61,2,9.56,1:44.48,1,9.60,1:44.44,4,9.81,1:44.67
4,9.70,1:54.41,6,9.87,1:54.58,1,9.63,1:54.24,3,9.85,1:54.33,2,9.82,1:54.26,5,9.74,1:54.41
5,9.96,2:04.37,6,10.01,2:04.59,4,10.10,2:04.34,3,9.93,2:04.26,1,9.78,2:04.04,2,9.73,2:04.14
2,9.50,2:13.87,6,10.56,2:15.15,5,9.64,2:13.98,1,9.43,2:13.69,4,9.85,2:13.89,3,9.73,2:13.87
5,10.10,2:23.966,6,10.98,2:26.123,2,9.84,2:23.816,1,9.67,2:23.357,4,9.95,2:23.835,3,9.96,2:23.829
